"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"Contemp Iss-Engr Profession","101
001","59","3.388","40.7","27.1","16.9","8.5","1.7",".","3.4","1.7",".",".",".",".",".",".",".","."
"Technical Info Resources","151
001","26","3.731","61.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
001","16","3.133","12.5","37.5","31.3",".","6.3","6.3",".",".",".",".",".",".",".","6.3",".","."
"","002
155","18","3.278","33.3","22.2","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","155
003","18","3.083","11.1","27.8","33.3","22.2","5.6",".",".",".",".",".",".",".",".",".",".","."
"","004
155","19","3.237","15.8","36.8","42.1",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"","155
005","19","3.026","21.1","15.8","21.1","31.6","10.5",".",".",".",".",".",".",".",".",".",".","."
"","006
155","15","3.333","33.3","20.0","33.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","155
007","21","3.095","19.0","33.3","23.8","14.3","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"","008
155","19","3.711","63.2","21.1","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","155
009","16","3.067","12.5","6.3","62.5","6.3","6.3",".",".",".",".",".",".",".",".","6.3",".","."
"","010
155","19","3.184","36.8","31.6","10.5","5.3","5.3","5.3","5.3",".",".",".",".",".",".",".",".","."
"","011
155","18","3.028","22.2","16.7","16.7","33.3","11.1",".",".",".",".",".",".",".",".",".",".","."
"","013
155","15","3.000","13.3","33.3","33.3","6.7","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"","014
155","18","3.361","38.9","33.3","5.6","16.7",".","5.6",".",".",".",".",".",".",".",".",".","."
"Basic Communication","Course Total","231","3.199","26.0","26.0","26.0","12.6","5.6","1.7","1.3",".",".",".",".",".",".","0.9",".","."
"Freshman Independent Study","199
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","275
001","19","3.763","63.2","26.3","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
002","16","3.719","68.8","18.8","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","275
003","18","3.667","55.6","33.3",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Presentations","Course Total","53","3.717","62.3","26.4","5.7","3.8","1.9",".",".",".",".",".",".",".",".",".",".","."
"","332
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
332","7","3.500","42.9","28.6",".",".","14.3",".",".","14.3",".",".",".",".",".",".",".","."
"Basic Technical Japanese II","Course Total","8","3.429","37.5","25.0","12.5",".","12.5",".",".","12.5",".",".",".",".",".",".",".","."
"","375
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
002","6","3.900","66.7","16.7",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Intermed Tech Japanese II","Course Total","9","3.813","55.6","33.3",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"User Manuals/Software Docmt","392
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Communication","397
001","166","3.569","36.1","42.8","15.1","1.8",".",".","0.6","1.2",".",".",".",".","1.2","1.2",".","."
"Tech Communications Intrshp","398
001","8","3.750","87.5",".",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","399
036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior Independent Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"Technical Editing","497
001","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","530
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","530
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Technical Japanese Smr","Course Total","2","***","","","","","","","","","","","","","","","",""
"Tech&Professnl Communicatn","597
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intl Engr Strategies&Operatns","613
001","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
001","15","3.133","13.3","40.0","33.3",".","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"","690
002","20","3.639","60.0","20.0",".","5.0",".","5.0",".","10.0",".",".",".",".",".",".",".","."
"","690
003","26","3.923","88.5","7.7","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 125 of 386",""
