"OPERATIONS & TECHNOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","",""
"","350
005","228","2.985","15.8","14.5","40.8","13.2","13.6","2.2",".",".",".",".",".",".",".",".",".","."
"","350
006","238","2.886","14.7","13.9","35.7","11.3","20.6","3.4",".",".",".",".",".",".",".","0.4",".","."
"Mgmt-Serv&Manufctng Operatn","Course Total","466","2.934","15.2","14.2","38.2","12.2","17.2","2.8",".",".",".",".",".",".",".","0.2",".","."
"Principles & Tech-Qual Mgmt","351
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
001","12","3.773","58.3","25.0","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","365
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","15","3.679","46.7","33.3","13.3",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","399
043","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
076","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
093","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","Course Total","4","***","","","","","","","","","","","","","","","",""
"Operations Research II","001
411","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Facilities Location Models","578
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Production Planning&Control","654
001","29","3.414","31.0","34.5","20.7","13.8",".",".",".",".",".",".",".",".",".",".",".","."
"Operations Research II","711
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","730
001","30","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","730
002","23","3.435","34.8","21.7","39.1","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Managerial Economics","Course Total","53","3.500","37.7","26.4","34.0","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"","750
001","37","3.959","94.6","2.7","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","750
002","32","3.967","87.5","6.3",".",".",".",".",".",".",".",".",".",".",".","6.3",".","."
"Operations Management","Course Total","69","3.963","91.3","4.3","1.4",".",".",".",".",".",".",".",".",".",".","2.9",".","."
"Intl Operations: Probs&Adm","001
755","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
003","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
004","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","44","3.958","97.7",".","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","768
001","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","768
002","28","3.982","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quality Management","Course Total","64","3.992","98.4","1.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Qual&Prodtvty Imprvmt","770
001","29","3.741","51.7","44.8","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
037","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
043","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
058","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
076","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
121","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","Course Total","20","3.897","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plan-Qual/New Servc&Prodct","860
001","16","4.000","93.8",".",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Smr-Operations Management","875
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
058","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
076","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
117","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Operatns&Inf Mgt","Course Total","4","***","","","","","","","","","","","","","","","",""
