"ART EDUCATION (DEPT OF ART) Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","","","","","",""
"324
001
Art in Secondary Education","","11","3.864","81.8","9.1","9.1",".","",".",".","",".","",".","",".","",".",".","",".",".",".",".","."
"423
001
Stdt Tchg-Elem School Art","","10","4.000","100.0",".",".",".","",".",".","",".","",".","",".","",".",".","",".",".",".",".","."
"424
001
Stdt Tchg-Secondary Sch Art","","10","4.000","100.0",".",".",".","",".",".","",".","",".","",".","",".",".","",".",".",".",".","."
"493
001
Practicum in Teaching Art","","10","4.000","100.0",".",".",".","",".",".","",".","",".","",".","",".",".","",".",".",".",".","."
"570
001
Art-Exceptional Education","","11","3.955","90.9","9.1",".",".","",".",".","",".","",".","",".","",".",".","",".",".",".",".","."
"699
059","","2","***","","","","","","","","","","","","","","",".",".","",".",".",".",".","."
"699
061","","1","***","","","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Course Total
Independent Reading & Rsch","","3","***","","","","","","","","","","","","","","","","","","","","","",""
"900
001
Contemp Practices in Art Ed","","10","3.900","90.0",".","10.0",".","",".",".","",".","",".","",".","",".",".","",".",".",".",".","."
"951
001
Seminar in Art Education","","5","***","","","","","","","","","","","","","","",".",".","",".",".",".",".","."
"999
059","","1","***","","","","","","","","","","","","","","",".",".","",".",".",".",".","."
"999
061","","4","***","","","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Course Total
Adv Independent Reading","","5","***","","","","","","","","","","","","","","","","","","","","","",""
"ART ED
Dept. Total
176","","75","3.937","86.7","6.7","4.0",".","",".","",".","",".","",".","",".",".","",".","1.3","1.3",".",".","."
"Summary by Level","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","2","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"Senior","","48","3.992","97.9","2.1",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","50","3.992","98.0","2.0",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"Special","","11","3.779","63.6","9.1","18.2",".","",".","",".","",".","",".","",".",".","",".",".","9.1",".",".","."
"Graduate","","14","3.786","64.3","21.4","7.1",".","",".","",".","",".","",".","",".",".","",".","7.1",".",".",".","."
"Dept. Total","","75","3.937","86.7","6.7","4.0",".","",".","",".","",".","",".","",".",".","",".","1.3","1.3",".",".","."
