"PHILOSOPHY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","","",""
"992","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research-Philos of Science","Course Total","","2","***","","","","","","","","","","","","","","","",""
"994
Research in Ethics","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"998
Research-History of Philos","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","009","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"999","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","032","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","033","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","055","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","29","4.000","48.3",".",".",".",".",".",".","44.8",".",".",".","6.9",".",".",".","."
