"","990
021","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
023","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
024","2","***","","","","","","","","","",".",".",".",".","",".",".","."
"Research and Thesis","Course Total","40","",".",".",".",".",".",".",".","82.5","2.5",".",".","15.0","",".",".",".","."
"F&W ECOL
396","Dept. Total","378","3.208","29.6","19.0","18.8","11.4","5.6","1.9","1.6","9.5","0.3",".",".","1.6","",".","0.8",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","22","2.924","9.1","27.3","18.2","18.2","27.3",".",".",".",".",".",".",".","",".",".",".","."
"Sophomore","","50","2.975","16.0","24.0","32.0","14.0","6.0","4.0","4.0",".",".",".",".",".","",".",".",".","."
"Junior","","55","3.027","32.7","18.2","12.7","14.5","7.3","5.5","3.6",".",".",".",".",".","",".","5.5",".","."
"Senior","","132","3.111","30.3","18.9","23.5","18.2","5.3","1.5","1.5","0.8",".",".",".",".","",".",".",".","."
"Undergraduates","","259","3.056","26.3","20.5","22.4","16.6","7.7","2.7","2.3","0.4",".",".",".",".","",".","1.2",".","."
"Special","","9","3.286","22.2","11.1","55.6",".","11.1",".",".",".",".",".",".",".","",".",".",".","."
"Graduate","","109","3.700","37.6","16.5","7.3",".",".",".",".","32.1","0.9",".",".","5.5","",".",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","Dept. Total","378","3.208","29.6","19.0","18.8","11.4","5.6","1.9","1.6","9.5","0.3",".",".","1.6","",".","0.8",".","."
