"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"680
NEUROPHY","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Neurobi II:Intr-Brain&Behav","524
001","","4","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Ind Sty-Neurophysiology","699
018","","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"NEUROPHY
680","Dept. Total","","5","3.464","60.0","20.0","",".",".","20.0","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"680
NEUROPHY","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","1","4.000","100.0",".","",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","3","3.333","66.7",".","",".",".","33.3","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","4","3.455","75.0",".","",".",".","25.0","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","1","3.500",".","100.0","",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","5","3.464","60.0","20.0","",".",".","20.0","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
