"KINESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","",""
"","116
001","","23","3.500","26.1","47.8","26.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","116
002","","24","3.804","66.7","25.0",".","4.2",".",".",".","4.2",".",".",".",".",".",".",".","."
"","003
116","","23","3.696","60.9","17.4","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Aid","Course Total","","70","3.667","51.4","30.0","15.7","1.4",".",".",".","1.4",".",".",".",".",".",".",".","."
"Intro to Athletic Training","127
001","","42","3.060","9.5","31.0","35.7","14.3","7.1","2.4",".",".",".",".",".",".",".",".",".","."
"","197
001","","20","3.325","15.0","45.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","002
197","","15","3.733","53.3","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technique-Athletic Training","Course Total","","35","3.500","31.4","42.9","20.0","5.7",".",".",".",".",".",".",".",".",".",".",".","."
"","300
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
002","","25","3.820","76.0","20.0",".",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Kinesiology","Course Total","","30","3.831","80.0","16.7",".",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"Physiology of Exercise","314
001","","44","3.318","22.7","31.8","38.6",".","6.8",".",".",".",".",".",".",".",".",".",".","."
"","315
001","","24","3.438","37.5","20.8","37.5",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","002
315","","14","3.214","14.3","14.3","71.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Measurement-Motor Behavior","Course Total","","38","3.355","28.9","18.4","50.0",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biomechanics","001
318","","30","3.350","23.3","43.3","13.3","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro:Neural Basis-Movement","321
001","","44","3.455","43.2","25.0","18.2","11.4",".","2.3",".",".",".",".",".",".",".",".",".","."
"","323
001","","22","3.932","86.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323
002","","16","3.656","50.0","43.8",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","323
003","","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phy Ed-Elem School Children","Course Total","","55","3.855","78.2","18.2","1.8",".","1.8",".",".",".",".",".",".",".",".",".",".","."
"Specialized Tchg Experience","332
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Sport Psychology","350
001","","58","3.179","27.6","32.8","12.1","8.6","8.6","6.9",".","1.7","1.7",".",".",".",".",".",".","."
"Phys Agnts-Treat Athl Injry","357
001","","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Learning&Performance","361
001","","26","3.462","42.3","23.1","23.1","7.7","3.8",".",".",".",".",".",".",".",".",".",".","."
"Assessmnt&Progrmg Adaptd PE","364
001","","16","3.844","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
036","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","9","3.857","88.9",".",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Med Probs-Exercise & Sports","457
001","","25","3.348","28.0","28.0","20.0","12.0","4.0",".",".","8.0",".",".",".",".",".",".",".","."
"Tchg-Learn Proc:Motor Skill","462
001","","12","3.417","41.7","50.0",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"Elem Sch Phy Ed Stdt Tchg","478
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Secondary-Phys Ed Stdt Tchg","479
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinic Exercise Test&Train","523
001","","21","3.500","23.8","52.4","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Women-Sport: Hist Perspctv","561
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Lab Tech-Exercise Physiol","615
001","","12","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biomechanics","618
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","699
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Hum Muscl Func/Hlth&Disease","779
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
