"L&S","","","","","","","","","","","","","","","","","","","","","",""
"INTERDIS COURSES (L & S)","Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","","","","",""
"Ways of Knowing Biology","151
001","50","",".",".",".",".",".",".",".","",".",".","","98.0","2.0",".","",".",".",".","."
"Intro Les, Gay, Bi, Trnsgen St","200
002","62","3.291","29.0","29.0","12.9","9.7","3.2","4.8",".","","4.8",".","",".",".",".","","1.6","4.8",".","."
"Undergrad Research Experience","250
001","29","3.754","75.9","6.9","10.3","6.9",".",".",".","",".",".","",".",".",".","",".",".",".","."
"INTER-LS
502","Dept. Total","141","3.425","28.4","14.2","7.8","5.7","1.4","2.1","",".","2.1","",".","34.8","0.7","",".","0.7","2.1",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","39","3.526","10.3","5.1",".","5.1",".",".","",".",".","",".","76.9","2.6","",".",".",".",".","."
"Sophomore","","46","3.620","32.6","13.0","15.2",".",".",".","",".",".","",".","39.1",".","",".",".",".",".","."
"Junior","","26","3.571","53.8","15.4","7.7","7.7","3.8",".","",".",".","",".","3.8",".","",".",".","7.7",".","."
"Senior","","28","3.063","25.0","25.0","7.1","14.3","3.6","10.7","",".","10.7","",".",".",".","",".","3.6",".",".","."
"Undergraduates","","139","3.424","28.8","13.7","7.9","5.8","1.4","2.2","",".","2.2","",".","35.3","0.7","",".","0.7","1.4",".","."
"Special","","1","3.500",".","100.0",".",".",".",".","",".",".","",".",".",".","",".",".",".",".","."
"Graduate","","1","",".",".",".",".",".",".","",".",".","",".",".",".","",".",".","100.0",".","."
"","Dept. Total","141","3.425","28.4","14.2","7.8","5.7","1.4","2.1","",".","2.1","",".","34.8","0.7","",".","0.7","2.1",".","."
