"L&S","","","","","","","","","","","","","","","","","","",""
"BIOLOGY CORE CURRICULUM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","",""
"Cellular Biology","303
001","134","3.381","41.8","14.2","34.3","2.2","6.0","0.7","0.7",".",".",".",".",".",".",".",".","."
"","304
001","23","3.391","26.1","39.1","26.1","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","304
002","21","3.405","19.0","52.4","19.0","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"","304
003","22","3.523","31.8","40.9","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","304
004","19","3.526","36.8","31.6","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","304
005","20","3.625","35.0","55.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","304
006","18","3.500","44.4","11.1","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cellular Biology Laboratory","Course Total","123","3.492","31.7","39.0","26.0","2.4","0.8",".",".",".",".",".",".",".",".",".",".","."
"Biological Interactions","333
001","80","3.638","62.5","7.5","27.5",".","2.5",".",".",".",".",".",".",".",".",".",".","."
"BIOCORE
206","Dept. Total","337","3.481","43.0","21.7","29.7","1.8","3.3","0.3","0.3",".",".",".",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","",""
"Sophomore","","41","3.393","39.0","26.8","24.4","4.9","2.4",".","2.4",".",".",".",".",".",".",".",".","."
"Junior","","191","3.436","39.3","22.0","33.0","1.6","3.7","0.5",".",".",".",".",".",".",".",".",".","."
"Senior","","103","3.602","52.4","19.4","25.2",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","335","3.485","43.3","21.8","29.6","1.5","3.3","0.3","0.3",".",".",".",".",".",".",".",".","."
"Special","","2","2.700",".",".","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","337","3.481","43.0","21.7","29.7","1.8","3.3","0.3","0.3",".",".",".",".",".",".",".",".","."
