"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"990","054","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","058","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","086","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","092","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","094","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","102","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","114","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","120","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","134","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","146","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","200","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","250","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","26","",".",".",".",".",".",".",".","96.2",".",".",".","3.8",".",".",".","."
"992","001","10","3.932","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"992","002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar","Course Total","19","3.967","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"998
Statistical Consulting","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"STAT
932","Dept. Total","1316","3.076","28.6","17.6","23.3","7.6","14.4","3.5","1.7","2.8",".",".",".","0.1","0.1","0.2",".","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"Freshmen","","42","2.862","19.0","16.7","31.0","9.5","16.7","2.4","4.8",".",".",".",".",".",".",".",".","."
"Sophomore","","245","2.783","17.1","13.9","28.2","8.6","24.1","6.1","1.6",".",".",".",".",".",".",".",".","0.4"
"Junior","","423","2.962","24.6","15.8","24.8","10.4","18.0","4.0","1.7","0.2",".",".",".",".",".","0.2",".","0.2"
"Senior","","275","2.984","27.3","16.0","23.6","9.5","14.9","4.0","3.3","1.5",".",".",".",".",".",".",".","."
"Undergraduates","","985","2.919","23.2","15.4","25.6","9.6","18.6","4.5","2.2","0.5",".",".",".",".",".","0.1",".","0.2"
"Special","","41","3.374","31.7","24.4","17.1","2.4","7.3","2.4",".","9.8",".",".",".",".",".","4.9",".","."
"Graduate","","287","3.590","46.3","23.7","16.4","1.4","1.0","0.3","0.3","9.8",".",".",".","0.3","0.3",".",".","."
"Prof Yr 3","","3","3.800","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","3","3.800","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","1316","3.076","28.6","17.6","23.3","7.6","14.4","3.5","1.7","2.8",".",".",".","0.1","0.1","0.2",".","0.2"
