"TERM : 1004","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 1999-2000","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","",""
"LIBRARY & INFORMATION STUD Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","","",""
"L I S
Dept. Total
544","440","3.795","66.8","21.6","5.5","0.7","0.7","",".","0.2","3.2","0.2",".","",".","",".","0.9","0.2",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","","",""
"Junior","8","3.750","50.0","50.0",".",".",".","",".",".",".",".",".","",".","",".",".",".",".","."
"Senior","20","3.779","60.0","35.0","5.0",".",".","",".",".",".",".",".","",".","",".",".",".",".","."
"Undergraduates","28","3.771","57.1","39.3","3.6",".",".","",".",".",".",".",".","",".","",".",".",".",".","."
"Special","28","3.744","67.9","21.4","7.1",".","3.6","",".",".",".",".",".","",".","",".",".",".",".","."
"Graduate","384","3.801","67.4","20.3","5.5","0.8","0.5","",".","0.3","3.6","0.3",".","",".","",".","1.0","0.3",".","."
"Dept. Total","440","3.795","66.8","21.6","5.5","0.7","0.7","",".","0.2","3.2","0.2",".","",".","",".","0.9","0.2",".","."
