"COUNSELING PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","","",""
"Practicum: Supervision","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"926
Leg&Ethicl Base-Couns Psych","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"951
Rsch-Indiv Intervention","001","","15","3.962","80.0","6.7",".",".",".",".",".",".",".",".",".",".","13.3",".",".","."
"952
Rsch: Group Intervention","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","025","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","026","","6","",".",".",".",".",".",".",".","66.7",".",".",".","33.3",".",".",".","."
"990","027","","13","",".",".",".",".",".",".",".","53.8",".",".",".","46.2",".",".",".","."
"990","028","","6","",".",".",".",".",".",".",".","33.3",".",".",".","66.7",".",".",".","."
"990","029","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","54","",".",".",".",".",".",".",".","75.9",".",".",".","24.1",".",".",".","."
"999","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
