"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"Introduction to Business","100
001","274","3.009","8.0","25.9","32.8","25.5","6.6","0.4",".","0.7",".",".",".",".",".",".",".","."
"Directed Study","198
201","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","300
001","19","3.737","52.6","42.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
300","24","3.646","29.2","70.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
003","21","3.595","23.8","71.4","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
004","22","3.750","63.6","27.3","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","300
005","21","3.888","81.0","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
006","22","3.545","22.7","63.6","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
007","23","3.568","30.4","47.8","17.4",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"","300
008","20","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
009","25","3.520","16.0","72.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
010","21","3.619","28.6","66.7","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
011","20","3.951","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
012","17","3.821","70.6","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
013","17","3.713","47.1","47.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
014","22","3.687","36.4","63.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
015","23","3.618","39.1","43.5","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Communication","Course Total","317","3.696","45.7","47.0","6.6","0.3",".",".",".",".",".",".",".",".","0.3",".",".","."
"","301
001","200","2.975","20.5","17.5","24.5","12.5","24.0",".","0.5","0.5",".",".",".",".",".",".",".","."
"","301
002","220","3.011","20.0","14.5","35.0","8.6","21.8",".",".",".",".",".",".",".",".",".",".","."
"Business Law","Course Total","420","2.994","20.2","16.0","30.0","10.5","22.9",".","0.2","0.2",".",".",".",".",".",".",".","."
"","001
302","31","3.500","45.2","29.0","9.7","3.2","9.7",".",".","3.2",".",".",".",".",".",".",".","."
"","302
002","49","3.112","24.5","20.4","24.5","18.4","10.2","2.0",".",".",".",".",".",".",".",".",".","."
"Business Law","Course Total","80","3.259","32.5","23.8","18.8","12.5","10.0","1.3",".","1.3",".",".",".",".",".",".",".","."
"","303
001","138","3.236","18.1","33.3","34.1","9.4","3.6","1.4",".",".",".",".",".",".",".",".",".","."
"","303
002","129","3.101","16.3","21.7","41.9","14.0","3.1","2.3","0.8",".",".",".",".",".",".",".",".","."
"Business Statistics","Course Total","267","3.170","17.2","27.7","37.8","11.6","3.4","1.9","0.4",".",".",".",".",".",".",".",".","."
"","304
001","90","3.289","27.8","28.9","30.0","6.7","4.4","1.1","1.1",".",".",".",".",".",".",".",".","."
"","304
002","90","3.483","24.4","55.6","15.6","3.3",".","1.1",".",".",".",".",".",".",".",".",".","."
"Intermediate Bus Statistics","Course Total","180","3.386","26.1","42.2","22.8","5.0","2.2","1.1","0.6",".",".",".",".",".",".",".",".","."
"","365
001","9","3.500","11.1","66.7","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","365
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","12","3.519","16.7","66.7","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","399
201","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
203","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg & Rsch-Business Rsch","Course Total","14","3.455","92.9",".",".",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","700
001","14","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","13","3.769","53.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
003","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
700","14","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managerial Communication","Course Total","56","3.795","58.9","41.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","701
001","32","3.891","78.1","21.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","701
002","44","3.898","79.5","20.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managing Legal Environment","Course Total","76","3.895","78.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 49 of 386"
"* Please note: This report does not combine crosslisted courses","","","","","","","","","","","","","","","","","","",""
"*** Please note: In order to protect student privacy, grade distributions for classes or class sections with fewer than five students have been redacted.","","","","","","","","","","","","","","","","","","",""
