"CHEMICAL & BIOLOGICAL ENGR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","211
001","","23","2.773","13.0","17.4","21.7","26.1","4.3","13.0",".","4.3",".",".",".",".",".",".",".","."
"","002
211","","32","2.609","6.3","15.6","25.0","25.0","15.6","12.5",".",".",".",".",".",".",".",".",".","."
"Chem Process Thermodynamics","Course Total","","55","2.676","9.1","16.4","23.6","25.5","10.9","12.7",".","1.8",".",".",".",".",".",".",".","."
"","250
001","","29","2.929","24.1","13.8","10.3","27.6","17.2","3.4",".","3.4",".",".",".",".",".",".",".","."
"","002
250","","24","3.021","20.8","16.7","25.0","29.2","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"Process Synthesis","Course Total","","53","2.971","22.6","15.1","17.0","28.3","11.3","3.8",".","1.9",".",".",".",".",".",".",".","."
"Thermodynamics of Mixtures","001
311","","53","2.587","15.1","11.3","18.9","17.0","20.8","13.2","1.9",".",".",".",".",".",".",".","1.9","."
"Intro Transport Phenomena","001
320","","43","2.826","27.9","4.7","27.9","16.3","11.6","7.0","4.7",".",".",".",".",".",".",".",".","."
"","324
001","","13","3.192","23.1","15.4","38.5","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"","324
002","","14","3.107","21.4","21.4","35.7",".","21.4",".",".",".",".",".",".",".",".",".",".","."
"","003
324","","11","3.182","27.3","18.2","36.4",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"","324
004","","14","3.231","28.6","21.4","21.4","7.1","14.3",".",".",".",".",".",".",".",".",".","7.1","."
"","005
324","","11","3.227","18.2","27.3","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","Course Total","","63","3.185","23.8","20.6","33.3","9.5","11.1",".",".",".",".",".",".",".",".",".","1.6","."
"Momentum&Heat Transfer Oper","326
001","","55","3.046","14.5","25.5","34.5","12.7","5.5","5.5",".",".",".",".",".",".",".",".","1.8","."
"Undergrad Rheology Seminar","425
001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Transfer Operations","426
001","","50","2.959","18.0","18.0","38.0","6.0","8.0","10.0",".","2.0",".",".",".",".",".",".",".","."
"Chem Kinetcs & Reactor Dsgn","430
001","","60","2.867","11.7","13.3","31.7","26.7","15.0","1.7",".",".",".",".",".",".",".",".",".","."
"Process Design","450
001","","48","3.052","16.7","18.8","35.4","16.7","12.5",".",".",".",".",".",".",".",".",".",".","."
"Process Dynamics & Control","470
001","","55","2.891","18.2","10.9","32.7","14.5","20.0","3.6",".",".",".",".",".",".",".",".",".","."
"Heterogeneous Catalysis","001
535","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Polymer Sci & Technology","001
540","","26","3.375","26.9","30.8","19.2","15.4",".",".",".","3.8",".",".",".",".",".",".","3.8","."
"Plastics & High Polymer Lab","541
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biomolecular Engr Lab","561
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","001
562","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562
003","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562
004","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in ChE","Course Total","","36","3.950","97.2",".","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Process Engineering","565
001","","21","2.800","14.3","4.8","38.1","14.3","19.0","4.8",".","4.8",".",".",".",".",".",".",".","."
"","599
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
006","","7","3.850","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599
008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","010
599","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599
011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","28","3.907","82.1","17.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 109 of 386",""
