"SOCIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"530","001","","53","2.750","17.0","15.1","13.2","15.1","34.0","3.8",".","1.9",".",".",".",".",".",".",".","."
"530","002","","48","2.646","10.4","16.7","14.6","25.0","25.0","8.3",".",".",".",".",".",".",".",".",".","."
"Intro-Social Psychology","Course Total","","101","2.707","13.9","15.8","13.9","19.8","29.7","5.9",".","1.0",".",".",".",".",".",".",".","."
"531
Sociology of Medicine","001","","32","3.250","18.8","28.1","31.3","12.5","3.1",".",".","3.1",".",".",".",".","3.1",".",".","."
"532
Hlth Care Iss:Ind, Fam, Soc","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"535
Language&Social Interaction","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"537
Social Behavior Dynamics","001","","20","3.150","30.0","30.0","10.0","10.0","15.0","5.0",".",".",".",".",".",".",".",".",".","."
"541
Soc Bhv & Natural Resources","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"626
Social Movements","001","","43","3.433","44.2","20.9","20.9","7.0","2.3",".","2.3",".",".",".",".",".",".","2.3",".","."
"628
Compar IR-Devel Countries I","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"630
Soc:Devlp Societies/3rd Wld","001","","23","3.710","82.6","4.3",".","4.3",".",".","4.3",".",".",".",".",".",".",".","4.3","."
"641
Sociology of Law","001","","88","3.729","75.0","1.1","14.8",".","5.7",".",".","3.4",".",".",".",".",".",".",".","."
"646
Race and Ethnic Relations","001","","36","2.714","11.1","11.1","16.7","33.3","16.7","5.6",".",".",".",".",".",".",".",".","5.6","."
"648
Sociology of Education","001","","27","3.561","44.4","29.6","18.5","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"650
Sociology of Agriculture","001","","6","3.583","66.7",".","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"691
Senior Thesis","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"692","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"693
Pract-Analysis & Research","001","","9","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"698","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"698","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"698","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","",".",".",".",".",".",".",".",".",".","83.3",".",".",".",".","16.7","."
"699","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","26","3.978","92.3","3.8",".",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","068","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 291 of 386",""
