"","999
007","2","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
008","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
025","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Study","Course Total","5","***","","","","","","","","","","","","","","","","",""
"HDFS
230","Dept. Total","975","3.357","36.3","17.9","18.4","7.1","4.6","1.1","1.1","3.6","0.1","7.9","",".","1.2","0.2","0.1","0.1","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","4","2.750",".","25.0","25.0","25.0","25.0",".",".",".",".",".","",".",".",".",".",".","."
"Sophomore","","154","3.175","27.3","20.1","29.9","12.3","7.1","3.2",".",".",".",".","",".",".",".",".",".","."
"Junior","","306","3.390","42.2","16.0","20.6","7.2","4.2","0.3","2.0",".",".","6.9","",".",".",".",".",".","0.7"
"Senior","","418","3.352","32.5","19.6","16.0","6.5","4.8","1.2","1.0","5.0",".","13.2","",".",".",".","0.2",".","."
"Undergraduates","","882","3.328","34.8","18.5","20.1","7.8","5.1","1.2","1.1","2.4",".","8.6","",".",".",".","0.1",".","0.2"
"Special","","8","3.714","50.0","25.0","12.5",".",".",".",".",".",".","12.5","",".",".",".",".",".","."
"Graduate","","85","3.786","50.6","11.8","1.2",".",".",".","1.2","16.5","1.2",".","",".","14.1","2.4",".","1.2","."
"","Dept. Total","975","3.357","36.3","17.9","18.4","7.1","4.6","1.1","1.1","3.6","0.1","7.9","",".","1.2","0.2","0.1","0.1","0.2"
