"L&S","","","","","","","","","","","","","","","","","","","","",""
"ENGLISH","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","","",""
"Eng 2nd Lang: Lang Learning","333","001","","29","3.845","75.9","17.2","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Eng 2nd Lang: Theory & Prac","334","001","","11","3.700","63.6","18.2",".",".","9.1",".",".",".",".",".",".",".",".",".","9.1","."
"ESL: Techniques & Materials","335","001","","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Linguistics & Lit Study","339","001","","10","3.100","30.0","10.0","30.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"A Theme-Medieval Eng Lit","362","001","","32","2.968","6.3","31.3","21.9","25.0","12.5",".",".",".",".",".",".",".",".","3.1",".","."
"Contemps&Successors-Chaucer","369","001","","21","3.381","33.3","38.1","23.8",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"","418","001","","40","3.566","45.0","25.0","17.5","7.5",".",".",".","2.5",".",".",".",".",".",".",".","2.5"
"","418","002","","39","2.756","17.9","15.4","25.6","12.8","15.4","10.3","2.6",".",".",".",".",".",".",".",".","."
"Shakespeare","","Course Total","","79","3.156","31.6","20.3","21.5","10.1","7.6","5.1","1.3","1.3",".",".",".",".",".",".",".","1.3"
"English Lit, 1745-1798","445","001","","41","3.049","9.8","22.0","51.2","7.3","7.3","2.4",".",".",".",".",".",".",".",".",".","."
"English Novel: 19th Cent","460","001","","40","3.300","15.0","32.5","50.0","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"Victorian Poetry","473","001","","23","3.196","30.4","17.4","17.4","30.4","4.3",".",".",".",".",".",".",".",".",".",".","."
"Honors Seminar","482","001","","18","3.583","50.0","27.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Maj Brit Novelists-1914-45","501","001","","40","3.526","45.0","30.0","17.5","2.5",".",".","2.5",".",".",".",".",".",".",".",".","2.5"
"Theme in 20th C Eng Lit","504","001","","41","3.366","24.4","46.3","19.5","7.3",".",".","2.4",".",".",".",".",".",".",".",".","."
"Select Major Modern Poets I","509","008","","26","3.327","23.1","30.8","38.5","3.8","3.8",".",".",".",".",".",".",".",".",".",".","."
"Recent British/Amer Fiction","511","008","","39","3.541","30.8","41.0","23.1",".",".",".",".","5.1",".",".",".",".",".",".",".","."
"Recent British/Amer Poetry","512","009","","32","3.000","9.4","31.3","37.5","6.3","12.5",".","3.1",".",".",".",".",".",".",".",".","."
"Studies in Criticism","550","001","","32","3.258","31.3","34.4","12.5","9.4","9.4",".","3.1",".",".",".",".",".",".",".",".","."
"Studies in Narrative Lit","563","001","","74","3.274","29.7","24.3","27.0","5.4","9.5",".","1.4","2.7",".",".",".",".",".",".",".","."
"Topic-Ethnic&Multicultr Lit","591","001","","69","3.175","15.9","34.8","29.0","8.7","5.8","1.4","1.4","1.4",".",".",".",".",".",".","1.4","."
"","609","001","","27","3.231","14.8","40.7","33.3","3.7",".",".","3.7",".",".",".",".",".",".","3.7",".","."
"","609","002","","21","3.381","33.3","14.3","47.6","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Major American Novelists","","Course Total","","48","3.298","22.9","29.2","39.6","4.2",".",".","2.1",".",".",".",".",".",".","2.1",".","."
"Major American Prose Writer","611","001","","38","3.230","23.7","21.1","42.1","7.9",".",".","2.6",".",".",".",".",".","2.6",".",".","."
"Lit of the Amer Renaissance","618","001","","35","3.257","20.0","25.7","42.9","8.6","2.9",".",".",".",".",".",".",".",".",".",".","."
"Theme in 19th C Amer Lit","626","001","","32","2.742","12.5","12.5","34.4","18.8","6.3","9.4","3.1",".",".",".",".",".",".",".",".","3.1"
"Maj Amer Novelists-1914-45","635","001","","35","3.061","11.4","31.4","37.1","8.6",".",".","5.7","5.7",".",".",".",".",".",".",".","."
"","681","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Honors Thesis in Major","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","682","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","107","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Honors Thesis in Major","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Senior Thesis","691","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","695","001","","12","3.458","50.0","41.7",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","695","002","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 203 of 386",""
