"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Signals and Systems","330
001","78","2.664","14.1","11.5","23.1","25.6","10.3","9.0","3.8",".",".",".",".",".",".","1.3","1.3","."
"Intro-Random Sig Anal&Stats","331
001","30","2.983","33.3","6.7","13.3","23.3","13.3","6.7",".",".",".",".",".",".",".","3.3",".","."
"Feedback Control Systems","332
001","55","2.806","21.8","3.6","30.9","5.5","32.7","3.6",".","1.8",".",".",".",".",".",".",".","."
"","335
001","31","2.683","12.9","3.2","22.6","32.3","22.6","3.2",".","3.2",".",".",".",".",".",".",".","."
"","335
002","51","2.745","11.8","13.7","13.7","31.4","23.5","2.0",".",".",".",".",".",".",".",".","3.9","."
"Microelectronic Devices","Course Total","82","2.722","12.2","9.8","17.1","31.7","23.2","2.4",".","1.2",".",".",".",".",".",".","2.4","."
"Electronic Circuits I","001
340","78","3.224","28.2","20.5","30.8","9.0","11.5",".",".",".",".",".",".",".",".",".",".","."
"Electronic Circuits II","342
001","47","3.319","34.0","21.3","36.2",".","6.4",".","2.1",".",".",".",".",".",".",".",".","."
"Semiconductr Physics&Device","345
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","350
001","18","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","350
002","21","3.333","9.5","66.7","19.0",".",".","4.8",".",".",".",".",".",".",".",".",".","."
"","350
003","19","3.474","36.8","52.6","5.3",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","350
004","20","3.600","30.0","60.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Expression","Course Total","78","3.551","34.6","53.8","9.0",".",".","1.3","1.3",".",".",".",".",".",".",".",".","."
"","351
001","11","3.455","36.4","36.4","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","351
003","13","3.385","23.1","30.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
351","16","3.156","6.3","31.3","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","351
005","15","3.533","40.0","40.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","351
006","13","3.269","23.1","38.5","23.1",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"","351
007","14","3.500","35.7","28.6","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
008","11","3.591","54.5","27.3","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","009
351","14","3.464","42.9","21.4","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Logic Laboratory","Course Total","107","3.411","31.8","31.8","27.1","5.6","3.7",".",".",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","352
001","56","2.768","8.9","28.6","19.6","14.3","17.9","10.7",".",".",".",".",".",".",".",".",".","."
"Intro to Microprocessor Sys","353
001","70","2.964","21.4","20.0","24.3","21.4","4.3","5.7","2.9",".",".",".",".",".",".",".",".","."
"","354
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","354
002","17","3.088","23.5","29.4","23.5","11.8","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"","354
003","8","3.250","25.0","37.5",".","37.5",".",".",".",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","30","3.150","26.7","30.0","13.3","20.0","6.7",".","3.3",".",".",".",".",".",".",".",".","."
"","355
001","19","3.289","15.8","42.1","26.3","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"","355
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Electromech Energy Conversn","Course Total","21","3.289","14.3","38.1","23.8","14.3",".",".",".",".",".",".",".",".","9.5",".",".","."
"","001
370","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
370","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
004","9","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
005","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
006","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","Course Total","73","3.925","90.4","4.1","5.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376
001","61","3.161","29.5","16.4","23.0","14.8","11.5","1.6",".","3.3",".",".",".",".",".",".",".","."
"","376
002","56","3.232","28.6","14.3","44.6",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Electricl&Electronc Circuit","Course Total","117","3.196","29.1","15.4","33.3","7.7","12.0","0.9",".","1.7",".",".",".",".",".",".",".","."
"","377
001","35","2.914","17.1","20.0","22.9","20.0","14.3","5.7",".",".",".",".",".",".",".",".",".","."
"","002
377","38","2.382","13.2","13.2","5.3","15.8","36.8","10.5","5.3",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 117 of 386",""
