"MEDICAL GENETICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"616
MD GENET","","","","","","","","","","","","","","","","","","",""
"Human Cytogenetics","562
001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","677
006","47","3.977","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
677","76","3.860","80.3","7.9","9.2","1.3",".",".",".","1.3",".",".",".",".",".",".",".","."
"","677
008","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
677","38","3.900","84.2","10.5","2.6","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","677
011","16","3.598","50.0","37.5",".",".",".",".","6.3",".",".",".",".",".",".","6.3",".","."
"","677
013","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","677
014","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Topics in Genetics","Course Total","273","3.922","88.6","6.6","2.9","0.7",".",".","0.4","0.4",".",".",".",".",".","0.4",".","."
"","699
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
088","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","9","3.639","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum-Genetic Counselng","714
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Medical Genetics","721
001","138","3.580","60.9",".","36.2",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"Contemp Pro Iss-Gen Cnslng","737
001","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Pract-Genetic Counselng","814
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
048","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Seminar in Genetics","993
001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"MD GENET
616","Dept. Total","468","3.829","77.1","6.8","12.8","0.4","0.9",".","0.2","1.5",".",".",".",".",".","0.2",".","."
