"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","",""
"MED","College Total","7427","3.489","44.3","14.9","21.3","2.2","3.9","0.9","0.2","9.2","",".","2.3",".","0.3","0.3","0.1","0.1","0.1"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"MED","","Grades","GPA","","","","","","","","","","","","","","","","",""
"Freshmen","","38","3.345","44.7","18.4","23.7","2.6","5.3","5.3",".",".","",".",".",".",".",".",".",".","."
"Sophomore","","306","3.002","36.6","12.1","20.6","8.2","13.4","6.5","1.6",".","",".",".",".",".",".","1.0",".","."
"Junior","","514","3.128","35.6","16.0","26.1","5.4","11.3","4.5","1.0",".","",".",".",".",".",".","0.2",".","."
"Senior","","1372","3.341","42.3","19.5","22.6","5.1","7.2","1.8","0.3","0.9","",".",".",".",".","0.1","0.1",".","."
"Undergraduates","","2230","3.242","40.0","17.7","23.1","5.6","9.0","3.1","0.6","0.6","",".",".",".",".","0.0","0.2",".","."
"Special","","98","3.372","30.6","17.3","18.4","6.1","6.1",".",".","7.1","",".","2.0",".",".",".","1.0","1.0","10.2"
"Graduate","","1462","3.681","35.1","16.6","8.3","0.6","0.4",".",".","28.0","",".","8.4",".","1.2","1.3",".","0.1","."
"Prof Yr 1","","886","3.656","56.4","3.5","29.0","1.7","2.1",".",".","1.9","",".","5.1",".",".","0.1",".","0.1","."
"Prof Yr 2","","1436","3.562","54.9","0.4","30.0",".","3.4",".","0.1","11.0","",".","0.1",".",".","0.1",".",".","."
"Prof Yr 3","","775","3.523","37.5","34.7","23.5","0.9","1.0",".",".","2.2","",".",".",".",".",".",".","0.1","."
"Prof Yr 4","","560","3.718","49.5","26.1","10.0","0.2","0.4",".",".","13.2","",".",".",".","0.2",".","0.2","0.4","."
"Professionals","","3657","3.602","50.8","12.4","25.3","0.6","2.1",".","0.0","7.3","",".","1.3",".","0.0","0.1","0.0","0.1","."
"","College Total","7447","3.489","44.2","14.8","21.2","2.2","3.9","0.9","0.2","9.3","",".","2.3",".","0.3","0.3","0.1","0.1","0.1"
