"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"HEC","","","","","","","","","","","","","","","","","","","","",""
"CONSUMER SCIENCE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","","","",""
"Consumer Finance","275","001","","53","3.000","11.3","26.4","30.2","15.1","17.0",".",".",".",".",".",".",".",".",".",".","."
"","299","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Mediatn:Serving Consumr Int","350","001","","43","3.679","53.5","30.2","9.3","4.7",".",".",".","2.3",".",".",".",".",".",".",".","."
"Retailing Theory & Practice","357","001","","34","3.545","44.1","20.6","29.4","2.9",".",".",".","2.9",".",".",".",".",".",".",".","."
"Comp Applicatns-Retailing","370","001","","13","3.269","30.8","23.1","23.1","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"Hist of Motherhood in Amer","473","001","","10","2.889",".","10.0","60.0","10.0","10.0",".",".","10.0",".",".",".",".",".",".",".","."
"Family Economics","475","001","","39","3.218","5.1","53.8","23.1","15.4","2.6",".",".",".",".",".",".",".",".",".",".","."
"The Consumer and the Market","477","001","","42","3.560","45.2","26.2","26.2",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"Consumer Information","478","001","","43","3.512","37.2","34.9","23.3","2.3","2.3",".",".",".",".",".",".",".",".",".",".","."
"Prep for Retailng Internshp","503","001","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Care Iss:Ind, Fam, Soc","532","001","","32","3.419","21.9","37.5","37.5",".",".",".",".","3.1",".",".",".",".",".",".",".","."
"Direct Retailing","561","001","","39","3.295","25.6","28.2","35.9","5.1","2.6","2.6",".",".",".",".",".",".",".",".",".","."
"International Retailing","562","001","","40","3.100","27.5","15.0","30.0","15.0","7.5","5.0",".",".",".",".",".",".",".",".",".","."
"Seminar in Consumer Science","565","001","","17","3.500","29.4","41.2","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Science Internship","601","015","","16","3.898","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Experience-Retailing","602","015","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Consumer Behavior","657","001","","50","3.770","66.0","22.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Household Risk Management","665","001","","31","3.452","41.9","22.6","19.4","16.1",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","699","005","","18","3.875","83.3","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar: Consumer Research","960","001","","9","3.800","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","075","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","10","",".",".",".",".",".",".",".","90.0",".",".",".","10.0",".",".",".","."
