"","990
056","2","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
058","2","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
059","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","36","",".",".",".",".",".","",".","",".","88.9",".",".",".","11.1",".",".",".","."
"MED PHYS
621","Dept. Total","140","3.583","37.9","17.1","15.0",".","0.7","",".","",".","23.6",".",".",".","3.6","2.1",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"621
MED PHYS","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Junior","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Senior","","2","3.800","50.0","50.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","4","3.900","75.0","25.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Graduate","","136","3.568","36.8","16.9","15.4",".","0.7","",".","",".","24.3",".",".",".","3.7","2.2",".",".","."
"","Dept. Total","140","3.583","37.9","17.1","15.0",".","0.7","",".","",".","23.6",".",".",".","3.6","2.1",".",".","."
