"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","",""
"","101
001","74","2.938","23.0","20.3","20.3","13.5","10.8","10.8",".","1.4",".",".",".",".",".",".",".","."
"","101
002","73","3.465","26.0","45.2","19.2","6.8",".",".",".","1.4",".",".",".",".",".","1.4",".","."
"","101
003","72","2.910","19.4","13.9","25.0","23.6","13.9","2.8","1.4",".",".",".",".",".",".",".",".","."
"","101
004","68","2.553","14.7","8.8","23.5","13.2","23.5","7.4","5.9","2.9",".",".",".",".",".",".",".","."
"","005
101","76","2.796","5.3","14.5","35.5","28.9","13.2","2.6",".",".",".",".",".",".",".",".",".","."
"Introduction to Philosophy","Course Total","363","2.936","17.6","20.7","24.8","17.4","12.1","4.7","1.4","1.1",".",".",".",".",".","0.3",".","."
"Intro to Social Philosophy","001
102","57","3.286","26.3","29.8","22.8","15.8","1.8","1.8",".","1.8",".",".",".",".",".",".",".","."
"","210
001","75","2.760","16.0","14.7","18.7","24.0","17.3","2.7","4.0","2.7",".",".",".",".",".",".",".","."
"","210
002","18","2.667","16.7","16.7","11.1","27.8","16.7","5.6","5.6",".",".",".",".",".",".",".",".","."
"","003
210","72","2.871","15.3","9.7","40.3","20.8","4.2","2.8","4.2","2.8",".",".",".",".",".",".",".","."
"Reason in Communication","Course Total","165","2.798","15.8","12.7","27.3","23.0","11.5","3.0","4.2","2.4",".",".",".",".",".",".",".","."
"","211
001","72","3.444","51.4","19.4","15.3","4.2","4.2","1.4","2.8","1.4",".",".",".",".",".",".",".","."
"","211
002","58","2.634","19.0","15.5","15.5","10.3","24.1","3.4","8.6","3.4",".",".",".",".",".",".",".","."
"","211
003","75","2.725","16.0","14.7","22.7","16.0","16.0","2.7","6.7","4.0",".",".",".",".",".",".",".","1.3"
"Elementary Logic","Course Total","205","2.957","29.3","16.6","18.0","10.2","14.1","2.4","5.9","2.9",".",".",".",".",".",".",".","0.5"
"Philosophy and the Sciences","001
220","54","3.209","25.9","24.1","22.2","5.6","1.9","7.4",".","11.1",".",".",".",".","1.9",".",".","."
"","241
001","87","3.317","19.5","36.8","32.2","6.9","1.1","1.1",".","1.1",".",".",".",".",".","1.1",".","."
"","241
002","69","3.081","14.5","20.3","39.1","15.9","8.7",".",".","1.4",".",".",".",".",".",".",".","."
"Introductory Ethics","Course Total","156","3.212","17.3","29.5","35.3","10.9","4.5","0.6",".","1.3",".",".",".",".",".","0.6",".","."
"Intro-Philos of Religion","261
001","57","3.269","17.5","29.8","35.1","5.3","1.8","1.8",".","7.0",".",".",".",".",".","1.8",".","."
"","341
001","160","3.636","50.0","35.0","8.8","3.1","1.3",".","0.6","0.6",".",".",".",".",".",".",".","0.6"
"","341
002","95","3.022","10.5","18.9","42.1","18.9","5.3",".","1.1","2.1",".",".",".",".",".",".","1.1","."
"","341
091","16","3.875","93.8",".",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","092
341","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
093","17","3.029","29.4","11.8","35.3","5.9","11.8",".","5.9",".",".",".",".",".",".",".",".","."
"","341
094","16","3.594","25.0","68.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
095","20","3.550","35.0","50.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","341
096","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Moral Issues","Course Total","353","3.470","41.1","28.6","18.1","6.8","3.1",".","0.8","0.8",".",".",".",".",".",".","0.3","0.3"
"Hist of Ancient Philosophy","430
001","64","3.444","35.9","25.0","29.7","4.7",".","1.6",".",".",".",".",".",".",".",".","3.1","."
"History-Modern Philosophy","432
001","51","3.327","35.3","23.5","19.6","3.9","13.7",".",".",".",".",".",".",".",".","3.9",".","."
"Jewish Philos:Antiquity-17c","435
001","9","3.327","44.4","22.2","22.2",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"Environmental Ethics","441
001","58","3.368","43.1","17.2","19.0","10.3","6.9","1.7",".","1.7",".",".",".",".",".",".",".","."
"Classical Philosophers","454
001","41","2.852","12.2","24.4","36.6","7.3","4.9",".","9.8","2.4",".",".",".",".",".","2.4",".","."
"Classical Philosophers","464
001","20","2.925","30.0","10.0","25.0","15.0","10.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"Junior Honors Seminar","481
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior Honors Seminar","482
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Philosophy of Religion","501
001","30","2.862","10.0","23.3","30.0","10.0","16.7","6.7",".",".",".",".",".",".",".",".",".","3.3"
"Philos Prblms-Biol Sciences","523
001","19","3.447","31.6","36.8","21.1","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Great Moral Philosophers","549
001","19","3.342","31.6","21.1","31.6","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"Philos of Moral Education","550
001","14","3.308","28.6","42.9","14.3",".",".",".","7.1","7.1",".",".",".",".",".",".",".","."
"Political Philosophy","555
001","27","3.308","29.6","25.9","22.2","11.1","7.4",".",".","3.7",".",".",".",".",".",".",".","."
"Ethical Probs-Biomed Tech","558
001","42","3.200","19.0","21.4","35.7","16.7","2.4",".",".","2.4",".",".",".",".",".",".","2.4","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 265 of 386",""
