"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"INTL ST","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","1","0.000",".",".",".",".",".","",".","100.0",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","2","3.250",".","50.0","50.0",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","13","3.412","30.8","23.1","46.2",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","58","3.495","29.3","50.0","12.1","3.4","3.4","",".",".","1.7","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","74","3.422","28.4","44.6","18.9","2.7","2.7","",".","1.4","1.4","",".",".","",".","",".","",".",".",".","."
"Special","","","1","3.000",".",".","100.0",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","7","3.917","71.4","14.3",".",".",".","",".",".","14.3","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","82","3.456","31.7","41.5","18.3","2.4","2.4","",".","1.2","2.4","",".",".","",".","",".","",".",".",".","."
