"MUSIC","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","",""
"The Musical Experience","101
001","","153","3.205","31.4","26.8","16.3","6.5","11.8","3.9","0.7","2.0",".",".",".",".",".","0.7",".","."
"Intro-Mus Cult of the World","103
001","","19","3.263","36.8","15.8","31.6","5.3","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"Opera","105
001","","79","3.375","46.8","11.4","17.7","1.3","10.1","3.8",".","8.9",".",".",".",".",".",".",".","."
"Intro to Music Technology","110
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","111
001","","23","3.478","65.2","8.7","8.7","8.7","4.3",".","4.3",".",".",".",".",".",".",".",".","."
"","111
002","","20","3.895","85.0",".","10.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Elements of Music","Course Total","","43","3.667","74.4","4.7","9.3","4.7","2.3",".","2.3","2.3",".",".",".",".",".",".",".","."
"Music in Performance","114
001","","584","3.936","87.2","6.8","1.7",".","0.2",".","0.2","3.9",".",".",".",".",".",".",".","."
"","122
001","","34","2.838","8.8","26.5","38.2","5.9","11.8","2.9","5.9",".",".",".",".",".",".",".",".","."
"","002
122","","41","3.098","12.2","29.3","41.5","4.9","9.8","2.4",".",".",".",".",".",".",".",".",".","."
"Musica Practica 2","Course Total","","75","2.980","10.7","28.0","40.0","5.3","10.7","2.7","2.7",".",".",".",".",".",".",".",".","."
"Basic Concepts-Music Theory","151
001","","35","3.794","77.1","5.7","8.6","5.7",".",".",".","2.9",".",".",".",".",".",".",".","."
"","172
101","","18","3.139","16.7","27.8","50.0",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"","172
102","","16","3.156","18.8","37.5","31.3","6.3",".",".","6.3",".",".",".",".",".",".",".",".","."
"","172
103","","14","3.429","28.6","42.9","21.4",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","172
104","","13","3.423","23.1","46.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","172
105","","14","3.393","57.1",".","21.4","7.1","14.3",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 2","Course Total","","75","3.293","28.0","30.7","30.7","4.0","4.0",".","2.7",".",".",".",".",".",".",".",".","."
"The Legendary Performers","206
001","","298","3.698","54.4","26.5","9.1","3.7","0.3",".",".","5.7",".",".",".",".",".",".","0.3","."
"Survey-Hist Western Music","212
001","","61","3.292","44.3","8.2","32.8","3.3","3.3","4.9","1.6","1.6",".",".",".",".",".",".",".","."
"","222
001","","20","3.225","25.0","35.0","25.0",".","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"","222
002","","25","3.020","20.0","24.0","24.0","12.0","16.0","4.0",".",".",".",".",".",".",".",".",".","."
"Musica Practica 4","Course Total","","45","3.111","22.2","28.9","24.4","6.7","13.3","4.4",".",".",".",".",".",".",".",".",".","."
"Vocal Techniques","241
001","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","254
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
254","","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conducting","Course Total","","20","3.900","85.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Opera Workshop","257
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Piano","261
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
002","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
001","","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
002","","8","3.857","75.0",".","12.5",".",".",".",".",".",".",".",".",".",".",".","12.5","."
"Ensemble: Wisconsin Singers","Course Total","","36","3.971","94.4",".","2.8",".",".",".",".",".",".",".",".",".",".",".","2.8","."
"","001
265","","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".",".",".","7.1","."
"","265
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Woodwind","Course Total","","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".",".",".","6.7","."
"Black Music Ensemble","266
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
004","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 254 of 386",""
