"L&S","","","","","","","","","","","","","","","","","","",""
"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","",""
"","101
001","430","2.693","13.3","12.6","22.3","18.1","26.5","5.1","1.4","0.7",".",".",".",".",".",".",".","."
"","002
101","402","2.625","12.9","10.0","21.6","19.2","28.9","4.7","2.5","0.2",".",".",".",".",".",".",".","."
"","003
101","332","2.891","20.8","14.2","31.9","7.5","16.0","7.2","1.5","0.3",".",".",".",".",".",".","0.3","0.3"
"Principles-Microeconomics","Course Total","1164","2.726","15.3","12.1","24.8","15.5","24.3","5.6","1.8","0.4",".",".",".",".",".",".","0.1","0.1"
"","001
102","248","2.385","5.2","4.0","24.2","5.6","53.6","5.6",".","0.8",".",".",".",".","0.8",".",".","."
"","102
002","243","2.749","14.0","14.8","24.3","18.9","21.4","4.1","2.5",".",".",".",".",".",".",".",".","."
"","102
003","317","2.792","15.5","17.7","21.5","18.3","20.2","5.0","1.9",".",".",".",".",".",".",".",".","."
"Principles-Macroeconomics","Course Total","808","2.655","11.9","12.6","23.1","14.6","30.8","5.0","1.5","0.2",".",".",".",".","0.2",".",".","."
"","111
001","34","3.706","61.8","20.6","14.7","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"","111
002","28","3.722","53.6","32.1","10.7",".",".",".",".","3.6",".",".",".",".",".",".",".","."
"Prin/Econ-Accelratd Treatmt","Course Total","62","3.713","58.1","25.8","12.9","1.6",".",".",".","1.6",".",".",".",".",".",".",".","."
"Bascom Course","236
001","16","3.533","50.0","12.5","18.8","12.5",".",".",".",".",".",".",".",".",".","6.3",".","."
"","300
001","14","3.077","28.6","7.1","21.4","21.4","14.3",".",".","7.1",".",".",".",".",".",".",".","."
"","002
300","16","2.781","6.3","12.5","50.0","6.3","18.8","6.3",".",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","30","2.914","16.7","10.0","36.7","13.3","16.7","3.3",".","3.3",".",".",".",".",".",".",".","."
"","301
001","78","2.610","7.7","12.8","29.5","17.9","20.5","7.7","2.6",".",".",".",".",".",".","1.3",".","."
"","002
301","68","2.769","16.2","16.2","19.1","16.2","20.6","4.4","2.9",".","2.9",".",".",".",".","1.5",".","."
"Intmed Microeconomic Theory","Course Total","146","2.683","11.6","14.4","24.7","17.1","20.5","6.2","2.7",".","1.4",".",".",".",".","1.4",".","."
"","302
001","93","3.156","16.1","26.9","34.4","11.8","6.5","1.1",".","2.2",".",".",".",".",".","1.1",".","."
"","302
002","89","2.924","22.5","13.5","29.2","7.9","15.7","6.7","1.1","1.1",".",".",".",".","1.1","1.1",".","."
"Intmed Macroeconomic Theory","Course Total","182","3.043","19.2","20.3","31.9","9.9","11.0","3.8","0.5","1.6",".",".",".",".","0.5","1.1",".","."
"The Real Estate Process","001
306","39","2.686","10.3","12.8","17.9","33.3","7.7","2.6","5.1","10.3",".",".",".",".",".",".",".","."
