"L&S","","","","","","","","","","","","","","","","","","",""
"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","",""
"ENGLISH
350","Dept. Total","4845","3.295","28.8","25.6","22.1","8.0","4.7","1.4","1.0","1.9","0.0","4.8","0.1","0.7","0.2","0.3","0.2","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1154","3.169","21.1","28.9","24.5","13.6","6.0","1.7","1.0",".",".","3.0",".",".",".","0.2",".","."
"Sophomore","","1230","3.297","28.9","28.7","24.8","7.6","5.0","1.3","1.0",".",".","2.0","0.1",".","0.2","0.2","0.1","0.1"
"Junior","","956","3.241","28.2","24.3","26.8","8.3","5.3","1.9","1.4","0.5",".","2.0","0.4",".",".","0.3","0.1","0.5"
"Senior","","973","3.365","35.5","27.4","20.9","5.8","4.6","1.2","1.2","1.1","0.1","1.5",".","0.1",".","0.5",".","."
"Undergraduates","","4313","3.266","28.1","27.5","24.3","8.9","5.2","1.5","1.1","0.4","0.0","2.2","0.1","0.0","0.0","0.3","0.0","0.1"
"Special","","101","3.648","26.7","8.9","5.0","1.0","2.0",".",".","3.0",".","47.5","1.0",".","3.0",".","2.0","."
"Graduate","","429","3.791","35.9","10.7","4.2","0.5","0.2",".",".","17.5",".","21.0","0.2","7.9","0.9",".","0.9","."
"Prof Yr 1","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","4845","3.295","28.8","25.6","22.1","8.0","4.7","1.4","1.0","1.9","0.0","4.8","0.1","0.7","0.2","0.3","0.2","0.1"
