"VET","","","","","","","","","","","","","","","","","","",""
"COMPARATIVE BIOSCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"934
COMP BIO","","","","","","","","","","","","","","","","","","",""
"Veterinary Biochemistry","502
001","80","3.275","30.0","22.5","33.8",".","13.8",".",".",".",".",".",".",".",".",".",".","."
"Vet Neuroanatomy&Neurophys","505
001","80","2.963","12.5","20.0","35.0","12.5","20.0",".",".",".",".",".",".",".",".",".",".","."
"Veterinary Physiology B","506
001","79","3.424","31.6","26.6","36.7","5.1",".",".",".",".",".",".",".",".",".",".",".","."
"Anat-Lrge Domestic Animals","550
001","80","3.173","28.8","11.3","35.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"Fund of Vet Pharmacology","552
001","81","3.062","14.8","12.3","54.3","14.8",".","3.7",".",".",".",".",".",".",".",".",".","."
"Veterinary Toxicology","555
001","75","3.000","12.0","14.7","45.3","17.3","10.7",".",".",".",".",".",".",".",".",".",".","."
"Basic & Clin Vet Therapeutics","556
001","75","2.980","6.7","12.0","66.7","5.3","6.7","2.7",".",".",".",".",".",".",".",".",".","."
"COMP BIO
934","Dept. Total","550","3.150","19.6","17.1","43.6","9.6","9.1","0.9",".",".",".",".",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"934
COMP BIO","","","","","","","","","","","","","","","","","","",""
"Prof Yr 1","","402","3.203","23.4","18.4","39.3","9.0","9.2","0.7",".",".",".",".",".",".",".",".",".","."
"Prof Yr 2","","148","2.988","9.5","13.5","55.4","11.5","8.8","1.4",".",".",".",".",".",".",".",".",".","."
"Professionals","","550","3.150","19.6","17.1","43.6","9.6","9.1","0.9",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","550","3.150","19.6","17.1","43.6","9.6","9.1","0.9",".",".",".",".",".",".",".",".",".","."
