"","699
004","2","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","699
012","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","699
063","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Independent Project","Course Total","6","3.833","83.3","16.7",".",".",".","",".",".",".",".",".","",".","",".","",".",".",".","."
"DANCE
741","Dept. Total","1070","3.665","45.0","28.6","9.3","1.1","0.6","",".","0.1","14.4","0.1",".","",".","",".","",".","0.2","0.5","0.3"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","99","3.599","43.4","33.3","19.2","1.0",".","",".",".","1.0",".",".","",".","",".","",".","1.0","1.0","."
"Sophomore","","178","3.615","47.8","34.8","11.2","1.7","0.6","",".","0.6","2.2",".",".","",".","",".","",".",".","1.1","."
"Junior","","215","3.655","41.4","35.8","9.3","0.9","1.4","",".",".","9.8",".",".","",".","",".","",".",".",".","1.4"
"Senior","","484","3.702","46.1","23.8","6.4","1.0","0.2","",".",".","21.9","0.2",".","",".","",".","",".","0.2","0.2","."
"Undergraduates","","976","3.662","45.1","29.4","9.2","1.1","0.5","",".","0.1","13.5","0.1",".","",".","",".","",".","0.2","0.4","0.3"
"Special","","25","3.727","60.0","16.0","12.0","4.0",".","",".",".","8.0",".",".","",".","",".","",".",".",".","."
"Graduate","","58","3.716","37.9","19.0","6.9",".","1.7","",".",".","32.8",".",".","",".","",".","",".",".","1.7","."
"Prof Yr 1","","3","3.500","33.3","33.3","33.3",".",".","",".",".",".",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","3","3.333",".","66.7","33.3",".",".","",".",".",".",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","5","3.875","60.0","20.0",".",".",".","",".",".","20.0",".",".","",".","",".","",".",".",".","."
"Professionals","","11","3.600","36.4","36.4","18.2",".",".","",".",".","9.1",".",".","",".","",".","",".",".",".","."
"","Dept. Total","1070","3.665","45.0","28.6","9.3","1.1","0.6","",".","0.1","14.4","0.1",".","",".","",".","",".","0.2","0.5","0.3"
"April 01, 2013","","","","","","","","","","","","","","","","","","","","","","Page 102 of 386",""
