"L&S","","","","","","","","","","","","","","","","","","",""
"HEBREW (HEBREW AND SEMITI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"440
HEBR ST","","","","","","","","","","","","","","","","","","",""
"","102
001","13","3.373","38.5","23.1","23.1","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","102
002","16","3.438","50.0","18.8","6.3","18.8","6.3",".",".",".",".",".",".",".",".",".",".","."
"","003
102","17","3.469","52.9","11.8","11.8","5.9","11.8",".",".",".",".",".",".",".",".","5.9",".","."
"Second Semester Hebrew","Course Total","46","3.430","47.8","17.4","13.0","10.9","8.7",".",".",".",".",".",".",".",".","2.2",".","."
"Biblical Hebrew-Second Sem","104
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Hebrew","202
001","18","3.358","33.3","22.2","27.8",".",".","5.6",".","11.1",".",".",".",".",".",".",".","."
"Hebrew Lit: Medieval-Modern","218
001","19","3.289",".","57.9","42.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Hebrew Literature","302
001","13","3.625","38.5","38.5","15.4",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Biblical Hebrew-Second Sem","304
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Biblical Texts","324
001","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prophets of the Bible","332
001","31","2.642","9.7","16.1","32.3","9.7","12.9","12.9","3.2","3.2",".",".",".",".",".",".",".","."
"Religions-Ancient Near East","351
001","11","3.238","27.3","18.2","27.3",".","18.2",".",".",".",".",".",".",".",".",".","9.1","."
"Topics-Jewish Civilization","371
001","16","3.531","56.3","12.5","18.8","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Survey of Modern Hebrew Lit","402
001","12","3.792","58.3","25.0","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Biblical Texts, Poetry","514
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdgs-Contemp Hebrew Lit","534
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Aramaic II","602
001","10","3.444","30.0","30.0","20.0","10.0",".",".",".","10.0",".",".",".",".",".",".",".","."
"The Book of Ezekiel","642
001","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","4","***","","","","","","","","","","","","","","","",""
"Independent Study","799
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Biblical Studies","952
001","10","3.563","40.0","20.0","10.0","10.0",".",".",".","10.0",".",".",".",".",".",".","10.0","."
"","990
011","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"HEBR ST
440","Dept. Total","228","3.330","32.9","22.8","21.5","5.7","4.8","2.6","0.4","7.9",".",".",".",".",".","0.4","0.9","."
