"L&S","","","","","","","","","","","","","","","","","","","","","",""
"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","","","",""
"PSYCH
820","Dept. Total","4715","3.006","29.2","15.4","19.4","13.5","15.8","3.6","1.1","1.6","",".",".","",".","",".","0.1","0.2","0.0","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","894","2.634","13.3","14.9","15.3","20.1","26.4","7.6","2.1","0.1","",".",".","",".","",".",".","0.1",".","."
"Sophomore","","1194","2.992","26.2","16.4","20.8","14.2","17.7","3.0","1.3","0.1","",".",".","",".","",".",".","0.1","0.1","0.1"
"Junior","","1109","3.003","26.9","17.2","23.2","12.4","15.3","3.4","0.6","0.1","",".",".","",".","",".","0.1","0.5","0.1","0.2"
"Senior","","1255","3.217","40.0","14.4","20.2","11.4","9.5","2.1","0.8","1.2","",".",".","",".","",".","0.1","0.1",".","0.2"
"Undergraduates","","4452","2.983","27.7","15.7","20.1","14.2","16.5","3.8","1.2","0.4","",".",".","",".","",".","0.0","0.2","0.0","0.1"
"Special","","31","3.174","25.8","32.3","12.9","3.2","12.9",".","3.2","6.5","",".",".","",".","",".",".",".",".","3.2"
"Graduate","","228","3.775","60.5","7.0","5.7","1.3","0.4","0.4",".","23.7","",".",".","",".","",".","0.4","0.4",".","."
"Prof Yr 1","","2","2.250",".",".",".","50.0","50.0",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","","1","2.000",".",".",".",".","100.0",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","","4","2.500",".","25.0",".","25.0","50.0",".",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","4715","3.006","29.2","15.4","19.4","13.5","15.8","3.6","1.1","1.6","",".",".","",".","",".","0.1","0.2","0.0","0.1"
