"DAIRY SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"292
DY SCI","","","","","","","","","","","","","","","","","","","",""
"205
Dairy Cattle Selection","001","","16","3.594","50.0","18.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"360
Principles-Animal Breeding","001","","22","2.773","27.3","4.5","9.1","22.7","31.8","4.5",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"414
Ruminant Nutrition","001","","22","3.000","18.2","18.2","22.7","18.2","18.2",".",".","4.5",".",".",".",".",".",".",".","."
"433
Dairy Herd Management","001","","29","3.379","37.9","24.1","20.7","10.3","6.9",".",".",".",".",".",".",".",".",".",".","."
"434
Reproductive Physiology","001","","20","2.950","10.0","25.0","20.0","35.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"505
Rumen Microbiology","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"535
Dairy Farm Mgmt Practicum","001","","19","3.789","78.9",".","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"682
Senior Honors Thesis","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","7","3.688","71.4","14.3",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"799
Pract-Dairy Science Tchng","024","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"875","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","5","***","","","","","","","","","","","","","","","",""
"900","001","","25","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"900","002","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"900","003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"900","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"900","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","Course Total","","52","4.000","34.6",".",".",".",".",".",".","65.4",".",".",".",".",".",".",".","."
"931
Seminar in Animal Nutrition","001","","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Research","Course Total","","24","",".",".",".",".",".",".",".","58.3",".",".",".","41.7",".",".",".","."
