"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","","","",""
"","704
001","22","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"","704
002","16","3.969","93.8","6.3",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"Data Analysis for Managers","Course Total","38","3.987","97.4","2.6",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Intro to Decision Theory","001
705","6","3.600","33.3","33.3","16.7",".",".",".",".","16.7",".","",".",".","",".","",".",".",".","."
"","710
001","34","3.868","76.5","20.6","2.9",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"","710
002","40","3.775","70.0","25.0","2.5",".",".","2.5",".",".",".","",".",".","",".","",".",".",".","."
"","710
003","27","3.741","55.6","37.0","7.4",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"Ethics & Social Responsblty","Course Total","101","3.797","68.3","26.7","4.0",".",".","1.0",".",".","",".",".","",".","",".",".",".",".","."
"Appl Multivariate Analysis","756
001","8","3.313","25.0","37.5","12.5","25.0",".",".",".",".",".","",".",".","",".","",".",".",".","."
"","765
001","27","3.815","77.8","7.4","14.8",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"","765
002","4","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","765
004","31","3.226","25.8","19.4","32.3","19.4","3.2",".",".",".",".","",".",".","",".","",".",".",".","."
"Contemporary Topics","Course Total","62","3.516","51.6","12.9","24.2","9.7","1.6",".",".",".","",".",".","",".","",".",".",".",".","."
"Rdg & Rsch-Business Rsch","799
099","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"GEN BUS
231","Dept. Total","1921","3.309","32.4","28.3","21.7","9.0","7.1","0.5","0.2","0.3","",".","0.5","",".","",".","0.1",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","113","2.844","6.2","11.5","38.9","31.9","9.7","0.9",".",".","",".","0.9","",".","",".",".",".",".","."
"Sophomore","","150","3.126","10.0","34.0","25.3","22.0","4.0",".",".",".","",".","4.7","",".","",".",".",".",".","."
"Junior","","453","3.314","26.3","31.6","28.5","7.3","4.9","0.9","0.2","0.2","",".","0.2","",".","",".",".",".",".","."
"Senior","","849","3.267","28.7","29.9","21.4","7.4","11.1","0.5","0.4","0.5","",".",".","",".","",".","0.1",".",".","."
"Undergraduates","","1565","3.237","24.6","29.5","25.1","10.5","8.5","0.6","0.3","0.3","",".","0.6","",".","",".","0.1",".",".","."
"Special","","22","3.125","31.8","22.7","9.1","22.7","13.6",".",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","","333","3.776","68.8","23.4","6.3","0.9",".","0.3",".","0.3","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","1921","3.309","32.4","28.3","21.7","9.0","7.1","0.5","0.2","0.3","",".","0.5","",".","",".","0.1",".",".","."
