"EDU","","","","","","","","","","","","","","","","","","","",""
"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"Life Drawing I","Course Total","","47","3.394","27.7","25.5","44.7","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"Watercolor I","242
001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","244
001","","14","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","244
002","","14","3.615","35.7","42.9","14.3",".",".",".",".",".",".",".",".",".",".","7.1",".","."
"","244
003","","14","3.393","50.0","21.4","21.4",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Art Metal I","Course Total","","42","3.549","47.6","26.2","21.4",".",".",".","2.4",".",".",".",".",".",".","2.4",".","."
"","246
001","","11","3.591","45.5","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","246
002","","13","3.423","38.5","38.5","7.7",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"Lettering","Course Total","","24","3.500","41.7","33.3","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","302
001","","21","3.690","52.4","33.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
302","","21","3.375","33.3","33.3","9.5","9.5","9.5",".",".",".",".",".",".",".",".","4.8",".","."
"Color","Course Total","","42","3.537","42.9","33.3","11.9","4.8","4.8",".",".",".",".",".",".",".",".","2.4",".","."
"Relief Printmaking","306
001","","11","3.682","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","312
001","","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","312
002","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Drawing I","Course Total","","16","3.750","56.3","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","314
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","314
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","314
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Sculpture II","Course Total","","12","3.417","50.0","33.3","8.3",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"Lithography","316
001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
001","","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
002","","16","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Painting I","Course Total","","26","3.750","53.8","42.3","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324
001","","16","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ceramics II","Course Total","","22","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Etching","326
001","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computer in the Visual Arts","328
001","","12","3.743","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","332
001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","332
002","","8","3.313","37.5","25.0","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"","332
003","","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","332
004","","7","3.429","28.6","28.6","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Life Drawing II","Course Total","","28","3.518","39.3","35.7","17.9","3.6","3.6",".",".",".",".",".",".",".",".",".",".","."
"Wood Working","334
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Serigraphy","336
001","","14","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Watercolor II","342
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Art Metal II","344
001","","13","3.136","15.4","30.8","7.7","23.1","7.7",".",".","7.7",".",".",".",".","7.7",".",".","."
"","346
001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
346","","14","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Typogphy&Graphic Dsgn","Course Total","","27","3.907","81.5","18.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Glassworking","354
001","","20","3.339","20.0","35.0","35.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","356
001","","12","3.909","83.3",".","8.3",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 74 of 386"
