"SURGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","",""
"544
Surgery Fundamentals","001","","74","3.581","44.6","28.4","25.7","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"545
Fundmntls-Anesthesiology I","001","","74","3.345","25.7","25.7","41.9","5.4","1.4",".",".",".",".",".",".",".",".",".",".","."
"546
Fundmntls-Anesthesiology II","001","","83","3.127","8.4","21.7","59.0","8.4","2.4",".",".",".",".",".",".",".",".",".",".","."
"631
Large Animal Surgery","001","","83","2.849","8.4","14.5","39.8","15.7","20.5","1.2",".",".",".",".",".",".",".",".",".","."
"632
Small Animal Surgery Lab","001","","83","4.000","1.2",".",".",".",".",".",".","98.8",".",".",".",".",".",".",".","."
"634
Small Animal Anesthesia Lab","001","","83","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"638
Veterinary Radiology","001","","83","3.078","13.3","19.3","44.6","15.7","7.2",".",".",".",".",".",".",".",".",".",".","."
"642","001","","32","4.000","18.8",".",".",".",".",".",".","81.3",".",".",".",".",".",".",".","."
"642","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Large Animal Surgery","Course Total","","34","4.000","17.6",".",".",".",".",".",".","82.4",".",".",".",".",".",".",".","."
"644
Small Orthopedic Surgery","001","","25","4.000","76.0",".",".",".",".",".",".","24.0",".",".",".",".",".",".",".","."
"645","001","","35","4.000","54.3",".",".",".",".",".",".","45.7",".",".",".",".",".",".",".","."
"645","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Genrl Surgery","Course Total","","39","4.000","56.4",".",".",".",".",".",".","43.6",".",".",".",".",".",".",".","."
"646
Veterinary Anesthesiology","001","","30","4.000","56.7",".",".",".",".",".",".","43.3",".",".",".",".",".",".",".","."
"647
Radiology Clinics","001","","16","4.000","31.3",".",".",".",".",".",".","68.8",".",".",".",".",".",".",".","."
"675","002","","10","4.000","20.0",".",".",".",".",".",".","80.0",".",".",".",".",".",".",".","."
"675","004","","12","4.000","58.3",".",".",".",".",".",".","41.7",".",".",".",".",".",".",".","."
"675","006","","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","007","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"675","010","","52","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","011","","29","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","148","4.000","71.6",".",".",".",".",".",".","28.4",".",".",".",".",".",".",".","."
"676
Special Species Health","001","","83","3.380","12.0","59.0","21.7","7.2",".",".",".",".",".",".",".",".",".",".",".","."
"677
Vet Dentistry Elective","001","","59","4.000","88.1",".",".",".",".",".",".","11.9",".",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","7","4.000","71.4",".",".",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"741
Clinical Ophthalm Rotation","001","","33","4.000","15.2",".",".",".",".",".",".","84.8",".",".",".",".",".",".",".","."
"743
Adv Anesthlgy/Crit Care Med","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"744
Restrnt/Anesth Exotic Anmls","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"775","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"775","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"775","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
