"L&S","","","","","","","","","","","","","","","","","","","",""
"FRENCH (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","",""
"","271
003","","12","3.409","33.3","16.7","33.3","8.3",".",".",".",".",".",".",".",".",".","8.3",".","."
"","271
004","","20","3.450","30.0","35.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Literary Analysis","Course Total","","60","3.351","25.0","35.0","28.3","6.7","1.7","1.7",".",".",".",".",".",".",".","1.7",".","."
"4th Sem French-Honors","284
001","","13","3.250","15.4","38.5","23.1","7.7","7.7",".",".","7.7",".",".",".",".",".",".",".","."
"Intermed Lang&Cultr-Honors","288
001","","13","3.429","30.8","15.4","46.2",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Practical French Converstn","302
001","","38","3.987","97.4","2.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
001","","40","3.423","42.5","20.0","22.5","5.0","2.5","2.5",".","2.5",".",".",".",".",".",".",".","2.5"
"","002
311","","18","3.500","38.9","38.9","11.1","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Avance express orale&ecrite","Course Total","","58","3.446","41.4","25.9","19.0","5.2","3.4","1.7",".","1.7",".",".",".",".",".",".",".","1.7"
"","321
001","","20","3.404","35.0","15.0","45.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","321
002","","10","3.574","40.0","50.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","321
003","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Middle Ages to Revol","Course Total","","37","3.531","40.5","29.7","24.3","2.7","2.7",".",".",".",".",".",".",".",".",".",".","."
"","002
322","","29","3.653","55.2","20.7","24.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
003","","16","3.455","43.8","18.8","25.0","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Intro French Lit-19 & 20 C","Course Total","","45","3.580","51.1","20.0","24.4","2.2","2.2",".",".",".",".",".",".",".",".",".",".","."
"","347
001","","28","3.414","50.0","17.9","21.4","3.6","3.6",".","3.6",".",".",".",".",".",".",".",".","."
"","347
002","","15","3.466","26.7","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","6.7"
"Civ Franc:orig au 18e siecl","Course Total","","43","3.431","41.9","23.3","25.6","2.3","2.3",".","2.3",".",".",".",".",".",".",".",".","2.3"
"Civ France:Revolutn-contemp","348
001","","34","3.623","47.1","32.4","20.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"20th-Century French Lit","433
001","","22","3.439","36.4","45.5","4.5",".","4.5",".","4.5","4.5",".",".",".",".",".",".",".","."
"","461
000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","461
001","","30","3.495","50.0","16.7","26.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Topics in French Literature","Course Total","","31","3.495","48.4","19.4","25.8",".","6.5",".",".",".",".",".",".",".",".",".",".","."
"Topics in French Literature","462
001","","17","3.733","58.8","29.4","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tech Expressn Ecirt&Oral II","524
001","","7","2.833","28.6","14.3","14.3","14.3",".",".","14.3",".",".",".",".",".","14.3",".",".","."
"Colloq: Research Possibilities","555
001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Smr-French Lit St","568
001","","12","3.650","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thry/Prac-Francophone Drama","595
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Le Roman Francais-XXe Siec","647
001","","9","3.556","22.2","66.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro aux etudes francphone","665
001","","24","3.639","41.7","29.2","16.7",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","682
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"","699
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","10","3.600","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"French Lit Through 13th C","001
705","","9","3.688","33.3","55.6",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"","799
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 209 of 386",""
