"","990
044","","2","***","","","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
150","","1","***","","","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
151","","1","***","","","","","","","","","","","","","",".",".",".",".","",".",".","."
"Rsch in Human Cancer Bio","Course Total","","10","",".",".","",".",".","",".","",".","",".","90.0",".",".",".","10.0","",".",".",".","."
"H ONCOL
480","Dept. Total","","19","3.773","15.8","10.5","",".",".","",".","",".","",".","47.4",".","21.1",".","5.3","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"480
H ONCOL","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","1","3.500",".","100.0","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Junior","","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Senior","","","2","3.700","50.0","50.0","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Undergraduates","","","4","3.722","50.0","50.0","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Special","","","2","",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"Graduate","","","12","",".",".","",".",".","",".","",".","",".","75.0",".","16.7",".","8.3","",".",".",".","."
"Prof Yr 3","","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Professionals","","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","Dept. Total","","19","3.773","15.8","10.5","",".",".","",".","",".","",".","47.4",".","21.1",".","5.3","",".",".",".","."
