"ENVIR ST - GAYLORD NELSON I","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"575
Assessment-Environ Impact","001","","37","3.266","21.6","35.1","29.7","5.4","2.7",".","2.7","2.7",".",".",".",".",".",".",".","."
"600","001","","14","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"600","002","","18","3.806","61.1","38.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Envir Studies Cert Seminar","Course Total","","32","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"651
Conservation Biology","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"652
Decisn Meth-Nat Resrc Mangr","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"671
Energy Economics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","075","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","141","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","15","3.829","86.7","6.7",".",".",".","6.7",".",".",".",".",".",".",".",".",".","."
"718
Water Res Mgt Pract Pl Smr","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"761
Colloquium in Air Pollution","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"810
Energy Analysis Seminar","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"821
Rsrce Pol Iss:Regional&Natl","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"865
Water Resrce Inst&Policies","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"881
Benefit-Cost Analysis","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"900","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"900","002","","7","3.667","42.9","28.6","14.3",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Seminar","Course Total","","11","3.654","54.5","18.2","9.1","9.1",".",".",".",".",".",".",".",".","9.1",".",".","."
"911
Oceanography&Limnology Smr","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"950
Envr Monitoring Seminar","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","070","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 151 of 386",""
