"JOURN AND MASS COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"Intro to Mass Communication","201
001","","414","3.062","7.5","29.5","40.1","16.9","5.1","0.5","0.5",".",".",".",".",".",".",".",".","."
"Reporting","204
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","205
001","","13","3.615","30.8","61.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","205
002","","13","3.462","30.8","30.8","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","205
003","","15","3.367","6.7","66.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","205
004","","11","2.955",".","18.2","54.5","27.3",".",".",".",".",".",".",".",".",".",".",".","."
"","205
005","","15","3.633","40.0","46.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Newswriting and Reporting","Course Total","","67","3.425","22.4","46.3","25.4","6.0",".",".",".",".",".",".",".",".",".",".",".","."
"","230
001","","14","3.464","21.4","50.0","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","230
002","","11","3.682","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Newspaper Editing","Course Total","","25","3.560","36.0","40.0","24.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
002","","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
003","","11","3.273","45.5","18.2","27.3",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"Reporting of Public Affairs","Course Total","","17","3.324","35.3","29.4","29.4",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"Interpatn Contemp Affairs","304
001","","13","3.577","53.8","15.4","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","305
001","","16","3.281","37.5","18.8","37.5",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","002
305","","15","3.567","33.3","46.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Writing of Feature Articles","Course Total","","31","3.419","35.5","32.3","29.0",".",".",".","3.2",".",".",".",".",".",".",".",".","."
"Mass Communication Graphics","311
001","","12","3.292","41.7","16.7","16.7","8.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"Public Relations Practices","325
001","","74","3.446","31.1","43.2","23.0",".",".",".","2.7",".",".",".",".",".",".",".",".","."
"Intro to Broadcast News","351
001","","16","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Television News","352
001","","11","3.545","36.4","36.4","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advertising Copy and Layout","450
001","","60","3.625","36.7","51.7","11.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Promotional Campaigns","001
454","","26","3.346","26.9","42.3","15.4","11.5",".","3.8",".",".",".",".",".",".",".",".",".","."
"Advertising Media Planning","459
001","","48","3.260","16.7","37.5","31.3","10.4","4.2",".",".",".",".",".",".",".",".",".",".","."
"","515
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","515
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pub Info Campaigns & Progms","Course Total","","4","***","","","","","","","","","","","","","","","",""
"","525
001","","45","3.178","6.7","33.3","51.1","6.7","2.2",".",".",".",".",".",".",".",".",".",".","."
"","525
002","","35","3.257","17.1","34.3","40.0","5.7",".","2.9",".",".",".",".",".",".",".",".",".","."
"Public Relations Campaigns","Course Total","","80","3.213","11.3","33.8","46.3","6.3","1.3","1.3",".",".",".",".",".",".",".",".",".","."
"Law of Mass Communication","001
559","","107","2.457","9.3","8.4","22.4","21.5","20.6","12.1","3.7","1.9",".",".",".",".",".",".",".","."
"Hist of Mass Communication","560
001","","73","2.904","5.5","17.8","52.1","15.1","5.5","1.4","2.7",".",".",".",".",".",".",".",".","."
"","561
001","","20","3.579","40.0","30.0","25.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"","002
561","","29","3.862","79.3","13.8","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
561","","12","3.636","33.3","50.0","8.3",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Mass Communication&Society","Course Total","","61","3.729","57.4","26.2","13.1",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"Mass Media and Minorities","562
001","","21","2.725","9.5","28.6","9.5","14.3","28.6",".","4.8","4.8",".",".",".",".",".",".",".","."
"History of Books&Printing","570
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","575
001","","21","3.522","47.6","28.6","19.0",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"","575
050","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","575
094","","6","3.325","66.7","16.7",".",".",".","16.7",".",".",".",".",".",".",".",".",".","."
"Topics-Mass Communication","Course Total","","41","3.624","63.4","22.0","9.8",".",".","2.4","2.4",".",".",".",".",".",".",".",".","."
