"Ways of Knowing Biology","151
001","","22","",".",".","",".",".",".",".","",".","",".","",".","","100.0",".","",".","",".","",".",".","."
"Undergrad Research Experience","250
001","","4","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"World Hunger & Malnutrition","350
001","","4","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"INTER-AG
494","Dept. Total","","30","3.071","10.0","",".","6.7","6.7","3.3","",".","",".","",".","",".","73.3","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"494
INTER-AG","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","12","",".","",".",".",".",".","",".","",".","",".","",".","100.0","",".","",".","",".",".",".","."
"Sophomore","","","12","3.571","16.7","",".",".","8.3",".","",".","",".","",".","",".","75.0","",".","",".","",".",".",".","."
"Junior","","","2","4.000","50.0","",".",".",".",".","",".","",".","",".","",".","50.0","",".","",".","",".",".",".","."
"Senior","","","4","2.625",".","",".","50.0","25.0","25.0","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","30","3.071","10.0","",".","6.7","6.7","3.3","",".","",".","",".","",".","73.3","",".","",".","",".",".",".","."
"","Dept. Total","","30","3.071","10.0","",".","6.7","6.7","3.3","",".","",".","",".","",".","73.3","",".","",".","",".",".",".","."
