"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"","130
004","24","3.250","20.8","29.2","33.3","12.5","4.2",".",".",".",".",".",".",".",".",".",".","."
"","130
005","20","3.625","70.0","15.0","5.0",".","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","130
006","8","3.188","25.0","12.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Arithmetical Problm Solving","Course Total","111","3.514","52.3","16.2","19.8","7.2","3.6","0.9",".",".",".",".",".",".",".",".",".","."
"","131
001","27","3.722","77.8","11.1","7.4",".",".",".","3.7",".",".",".",".",".",".",".",".","."
"","131
002","17","3.529","58.8","5.9","23.5","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","131
003","25","3.300","44.0","8.0","24.0","12.0","12.0",".",".",".",".",".",".",".",".",".",".","."
"","004
131","22","3.523","27.3","50.0","22.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
131","19","3.658","57.9","15.8","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Geom Inference & Reasoning","Course Total","110","3.545","53.6","18.2","20.0","3.6","3.6",".","0.9",".",".",".",".",".",".",".",".","."
"","132
001","20","2.900","10.0","10.0","50.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","132
002","19","3.289","15.8","31.6","47.4","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","003
132","19","2.842","5.3","26.3","15.8","36.8","15.8",".",".",".",".",".",".",".",".",".",".","."
"","132
004","17","3.147","23.5","5.9","47.1","23.5",".",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Models","Course Total","75","3.040","13.3","18.7","40.0","18.7","9.3",".",".",".",".",".",".",".",".",".",".","."
"","001
141","29","2.828","17.2","20.7","20.7","13.8","20.7","3.4","3.4",".",".",".",".",".",".",".",".","."
"","002
141","23","3.174","39.1","4.3","34.8","4.3","13.0","4.3",".",".",".",".",".",".",".",".",".","."
"","141
003","22","2.114","9.1","4.5","22.7","9.1","27.3","13.6","13.6",".",".",".",".",".",".",".",".","."
"Quant Reasoning&Prob Solvng","Course Total","74","2.723","21.6","10.8","25.7","9.5","20.3","6.8","5.4",".",".",".",".",".",".",".",".","."
"","210
001","83","3.223","41.0","20.5","18.1","4.8","8.4","3.6","3.6",".",".",".",".",".",".",".",".","."
"","002
210","97","3.134","29.9","24.7","17.5","12.4","10.3","3.1","2.1",".",".",".",".",".",".",".",".","."
"","210
003","104","2.942","31.7","5.8","31.7","1.9","19.2","8.7","1.0",".",".",".",".",".",".",".",".","."
"","210
004","92","2.565","17.4","3.3","37.0","3.3","25.0","6.5","7.6",".",".",".",".",".",".",".",".","."
"","005
210","97","2.928","28.9","15.5","19.6","15.5","10.3","5.2","5.2",".",".",".",".",".",".",".",".","."
"","210
006","95","2.963","28.4","14.7","24.2","5.3","17.9","9.5",".",".",".",".",".",".",".",".",".","."
"","007
210","92","3.000","28.3","21.7","19.6","8.7","12.0","6.5","3.3",".",".",".",".",".",".",".",".","."
"Topics-Finite Mathematics","Course Total","660","2.962","29.2","15.0","24.1","7.4","14.8","6.2","3.2",".",".",".",".",".",".",".",".","."
"","001
211","160","2.413","14.4","15.6","16.3","15.6","12.5","16.3","9.4",".",".",".",".",".",".",".",".","."
"","002
211","210","2.560","22.9","13.3","14.3","11.0","19.0","9.5","10.0",".",".",".",".",".",".",".",".","."
"Calculus","Course Total","370","2.496","19.2","14.3","15.1","13.0","16.2","12.4","9.7",".",".",".",".",".",".",".",".","."
"","213
001","34","2.682","29.4","11.8","11.8","8.8","14.7","14.7","5.9","2.9",".",".",".",".",".",".",".","."
"","002
213","38","2.855","13.2","31.6","15.8","18.4","13.2","2.6","5.3",".",".",".",".",".",".",".",".","."
"","003
213","33","2.939","15.2","18.2","27.3","18.2","21.2",".",".",".",".",".",".",".",".",".",".","."
"","213
004","26","2.269","11.5","11.5","11.5","11.5","30.8","15.4","7.7",".",".",".",".",".",".",".",".","."
"Calc/Intro-Differntl Equats","Course Total","131","2.715","17.6","19.1","16.8","14.5","19.1","7.6","4.6","0.8",".",".",".",".",".",".",".","."
"","001
221","126","2.404","14.3","9.5","14.3","16.7","25.4","12.7","6.3",".",".",".",".",".",".","0.8",".","."
"","221
002","139","2.332","14.4","5.8","22.3","7.9","28.1","9.4","10.8",".",".",".",".",".",".",".",".","1.4"
"","221
003","122","2.218","11.5","5.7","16.4","7.4","37.7","7.4","11.5",".",".",".",".",".",".","2.5",".","."
"","221
004","29","2.224","13.8",".","34.5","3.4","17.2","20.7","10.3",".",".",".",".",".",".",".",".","."
"Calculus&Analytic Geometry","Course Total","416","2.313","13.5","6.5","19.0","10.1","29.3","10.6","9.6",".",".",".",".",".",".","1.0",".","0.5"
"","222
001","190","2.947","38.4","10.0","17.9","5.8","13.7","7.4","5.8","0.5",".",".",".",".","0.5",".",".","."
"","222
002","211","2.654","17.1","16.6","16.6","19.4","15.6","9.5","5.2",".",".",".",".",".",".",".",".","."
"","222
003","177","2.537","19.8","11.3","16.9","11.9","19.8","13.6","6.2",".",".",".",".",".",".",".",".","0.6"
"","222
004","243","2.531","18.1","9.9","18.5","12.3","25.5","6.6","8.2",".",".",".",".",".","0.4","0.4",".","."
"Calculus&Analytic Geometry","Course Total","821","2.660","22.9","11.9","17.5","12.5","19.0","9.0","6.5","0.1",".",".",".",".","0.2","0.1",".","0.1"
