"COMMUNICATIVE DISORDERS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","",""
"Intro to Communicative Dis","110","001","165","2.745","12.1","12.1","36.4","12.1","18.2","7.9","1.2",".",".",".",".",".",".",".",".","."
"Introduction to Phonetics","200","001","29","3.362","37.9","27.6","17.2","3.4","13.8",".",".",".",".",".",".",".",".",".",".","."
"Speech Science","201","001","31","3.113","16.1","32.3","22.6","22.6","3.2","3.2",".",".",".",".",".",".",".",".",".","."
"Normal Aspects of Hearing","202","001","30","3.033","13.3","26.7","26.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".","."
"Speech & Lang Functs-Brain","210","001","36","3.236","25.0","19.4","38.9","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"Lang Devlp-Chld & Adolescnt","240","001","68","3.127","16.2","33.8","25.0","8.8","13.2","1.5",".",".",".",".",".",".","1.5",".",".","."
"Speech Pathology II","318","001","70","3.357","18.6","37.1","41.4","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Audiology","320","001","73","3.425","41.1","31.5","12.3","9.6","2.7","1.4","1.4",".",".",".",".",".",".",".",".","."
"PreClin Obs-Chldrn & Adults","371","001","32","3.547","40.6","28.1","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","390","001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","390","002","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Comm Disorders","","Course Total","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Auditory Rehabilitation","425","001","63","3.411","19.0","49.2","23.8","6.3",".",".",".","1.6",".",".",".",".",".",".",".","."
"Child Language Disorders","440","001","63","3.508","47.6","20.6","23.8","4.8","1.6","1.6",".",".",".",".",".",".",".",".",".","."
"Topics in Com Dis","455","001","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Grand Rounds","590","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lang&Learn Disordrs-Childrn","640","001","18","3.778","61.1","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"School Practicum in Com Dis","692","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Audiol-Speech/Lang Pathlgst","700","001","13","3.692","46.2","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dysarthria","711","001","42","3.750","52.4","45.2","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mgt&Assessmt-Voice Disorder","717","001","45","3.744","55.6","31.1","8.9",".",".",".",".","4.4",".",".",".",".",".",".",".","."
"","790","001","19","3.932","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","002","19","3.929","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","003","21","3.833","76.2","19.0",".","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","790","004","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","005","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Com Disorders","","Course Total","76","3.905","82.9","15.8",".","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"","791","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","791","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","791","003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","791","004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Clerkship in Audiology","","Course Total","17","3.938","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 184 of 386",""
