"Directed Study","","","","","","","","","","","","","","","","","","","","","","",""
"Smr: Brazilian Literature","752
001","5","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Independent Reading","899
022","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Thesis","990
032","2","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"PORTUG
782","Dept. Total","131","3.112","35.1","22.9","16.0","3.8","13.7","4.6","1.5","2.3","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","6","3.083","33.3","16.7",".","33.3","16.7",".",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","19","2.597","10.5","15.8","31.6",".","36.8",".","5.3",".","",".",".","",".","",".","",".",".",".","."
"Junior","","45","3.101","33.3","20.0","22.2","6.7","11.1","4.4","2.2",".","",".",".","",".","",".","",".",".",".","."
"Senior","","39","3.109","35.9","28.2","12.8",".","12.8","10.3",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","109","3.014","30.3","22.0","19.3","4.6","16.5","5.5","1.8",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","21","3.865","61.9","23.8",".",".",".",".",".","14.3","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","131","3.112","35.1","22.9","16.0","3.8","13.7","4.6","1.5","2.3","",".",".","",".","",".","",".",".",".","."
