"COMMUNICATION ARTS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"562
Thry-Argumentatn&Controvrsy","001","","12","3.042","33.3","8.3","41.7",".","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"565
Communictn&Interethnc Behav","001","","45","3.511","35.6","40.0","17.8","4.4","2.2",".",".",".",".",".",".",".",".",".",".","."
"570
Classical Rhetorical Theory","001","","17","2.971","11.8","29.4","23.5","11.8","23.5",".",".",".",".",".",".",".",".",".",".","."
"610
Topics-Rhetoric&Pub Address","001","","40","3.138","20.0","30.0","22.5","17.5","7.5","2.5",".",".",".",".",".",".",".",".",".","."
"612
Topics-Communicatn Studies","001","","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"613","001","","35","3.514","37.1","34.3","17.1","8.6",".",".",".","2.9",".",".",".",".",".",".",".","."
"613","002","","17","3.618","35.3","52.9","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"613","003","","19","3.292","21.1","36.8","10.5","21.1",".",".",".","10.5",".",".",".",".",".",".",".","."
"613","004","","16","3.375","18.8","43.8","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Topics; Broadcasting & Film","Course Total","","87","3.463","29.9","40.2","17.2","9.2",".",".",".","3.4",".",".",".",".",".",".",".","."
"614","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Exper in Communicatn","Course Total","","13","",".",".",".",".",".",".",".",".",".","92.3",".",".",".",".",".","."
"616
Mass Media and Youth","001","","33","3.333","33.3","30.3","15.2","12.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"617
Hlth Communication-Info Age","001","","15","2.433","26.7","6.7",".","13.3","26.7","26.7",".",".",".",".",".",".",".",".",".","."
"651
Adv Video Productn&Directn","001","","23","3.152","17.4","34.8","17.4","21.7","8.7",".",".",".",".",".",".",".",".",".",".","."
"656
Adv Motion Picture Productn","001","","14","3.464","14.3","64.3","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"659
Adv Motion Pic Prod Wkshp","001","","20","3.775","60.0","35.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"665
Contemporary Film Theory","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"682
Senior Honors Thesis","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698
Directed Study","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","9","3.912","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","015","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 181 of 386",""
