"SOCIAL WORK","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"800
Field Prac/Integrat Smr III","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"801","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"801","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"801","003","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"801","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"801","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"801","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"801","008","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"801","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"801","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"801","011","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"801","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"801","013","","19","3.792","84.2","10.5",".",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"801","014","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"801","015","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr IV","Course Total","","103","3.937","93.2","4.9","1.0",".",".","1.0",".",".",".",".",".",".",".",".",".","."
"823
Family Law II","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"842
Consultatn&Suprvsn-Soc Work","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"858
Women & Soc Work Practice","001","","20","3.825","75.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"860
Recent Developmnts-Soc Work","001","","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"862
Recent Developmnts-Soc Work","001","","16","3.733","50.0","37.5","6.3",".",".",".",".",".",".",".",".",".",".","6.3",".","."
"867
Recent Developmnts-Soc Work","001","","16","3.867","75.0","12.5","6.3",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"870
Mental Illness-Comm Treatmt","001","","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"924
Family Problems & Soc Work","001","","11","3.727","72.7","18.2",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"934
Adv Prac Iss-Devel Disabilties","001","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"940
Ethicl Behav-Soc Work Pract","001","","23","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"942
Philos-Sci & Thry-Appl Rsch","001","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"943
Research Methods-Social Work","001","","9","3.714","44.4","22.2","11.1",".",".",".",".",".",".",".",".",".","22.2",".",".","."
"945
Evaluation Research","001","","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis-Research","Course Total","","14","",".",".",".",".",".",".",".","64.3",".",".",".","35.7",".",".",".","."
"991","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"991","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"991","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
