"MUSIC-PERFORMANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","",""
"","101
001","","11","3.364","54.5","27.3",".","9.1",".",".","9.1",".",".",".",".",".",".",".",".","."
"","101
002","","8","3.600","25.0","25.0","12.5",".",".",".",".","25.0","12.5",".",".",".",".",".",".","."
"Beginning Class Piano","Course Total","","19","3.438","42.1","26.3","5.3","5.3",".",".","5.3","10.5","5.3",".",".",".",".",".",".","."
"","102
001","","10","3.550","50.0","30.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","002
102","","9","3.611","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Beginning Class Piano","Course Total","","19","3.579","42.1","42.1","10.5",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","103
001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","103
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Elementary Class Piano","Course Total","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
001","","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
002","","9","3.722","66.7","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Class Piano","Course Total","","17","3.647","52.9","23.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals: Double Reeds","12
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Performance: Voice","143
001","","17","3.882","88.2","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"First Year Composition","148
001","","8","3.563","50.0","12.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals-High Brass","18
001","","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001","","12","3.758","75.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
003","","11","3.840","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
008","","6","3.500","50.0","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","029
201","","6","3.929","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
104","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
648","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
652","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
667","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Piano","Course Total","","48","3.761","64.6","25.0","8.3","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Organ","203
042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","205
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","205
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","205
006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","205
045","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","205
061","","10","3.500","30.0","40.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","205
062","","9","3.619","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","205
102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","205
103","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","205
105","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","205
669","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Voice","Course Total","","36","3.651","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Flute","207
010","","7","3.889","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Oboe","209
059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 260 of 386",""
