"","990
073","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
074","4","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
076","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","56","",".",".",".",".",".","",".","",".","80.4",".",".",".","17.9",".",".",".","1.8"
"AHABS
952","Dept. Total","132","3.443","22.0","21.2","4.5","2.3","4.5","",".","",".","34.8",".",".",".","7.6","0.8",".",".","2.3"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"952
AHABS","","","","","","","","","","","","","","","","","","","","",""
"Junior","","2","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Senior","","27","3.098","14.8","40.7","11.1","11.1","22.2","",".","",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","29","3.140","20.7","37.9","10.3","10.3","20.7","",".","",".",".",".",".",".",".",".",".",".","."
"Special","","4","3.722","50.0","25.0","25.0",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Graduate","","96","3.708","20.8","15.6","2.1",".",".","",".","",".","46.9",".",".",".","10.4","1.0",".",".","3.1"
"Prof Yr 3","","3","3.700","33.3","33.3",".",".",".","",".","",".","33.3",".",".",".",".",".",".",".","."
"Professionals","","3","3.700","33.3","33.3",".",".",".","",".","",".","33.3",".",".",".",".",".",".",".","."
"","Dept. Total","132","3.443","22.0","21.2","4.5","2.3","4.5","",".","",".","34.8",".",".",".","7.6","0.8",".",".","2.3"
