"","990
061","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
063","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
064","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","32","",".",".",".",".",".",".",".","65.6",".",".",".","34.4",".",".",".","."
"CIV ENGR
240","Dept. Total","1316","3.292","32.6","19.6","16.8","7.0","6.8","1.4","0.3","10.4",".",".",".","4.8","0.1","0.1","0.1","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","55","3.236","14.5","34.5","38.2","9.1",".",".","1.8","1.8",".",".",".",".",".",".",".","."
"Junior","","204","3.042","25.0","19.6","25.5","14.2","11.3","3.9","0.5",".",".",".",".",".",".",".",".","."
"Senior","","545","3.247","32.7","25.5","19.8","9.0","9.9","1.5","0.4","0.9",".",".",".","0.2",".",".",".","0.2"
"Undergraduates","","806","3.194","29.4","24.8","22.5","10.3","9.6","2.0","0.5","0.7",".",".",".","0.1",".",".",".","0.1"
"Special","","14","3.250","35.7","21.4","14.3",".","14.3","7.1",".","7.1",".",".",".",".",".",".",".","."
"Graduate","","496","3.618","37.7","11.1","7.7","1.8","2.0","0.2",".","26.2",".",".",".","12.5","0.2","0.2","0.2","0.2"
"","Dept. Total","1316","3.292","32.6","19.6","16.8","7.0","6.8","1.4","0.3","10.4",".",".",".","4.8","0.1","0.1","0.1","0.2"
