"EDUCATIONAL POLICY STUDIES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","",""
"300","001","","38","3.224","13.2","39.5","26.3","21.1",".",".",".",".",".",".",".",".",".",".",".","."
"300","002","","33","3.773","60.6","33.3","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","004","","41","3.659","41.5","48.8","9.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","005","","30","3.783","66.7","26.7","3.3","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"School and Society","Course Total","","142","3.595","43.7","38.0","12.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"399
Independent Reading","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"412
History-American Education","001","","50","3.219","22.0","30.0","22.0","20.0",".",".","2.0",".",".",".",".",".",".",".","4.0","."
"460
Cultural Pluralsm&Ed Policy","001","","32","3.258","18.8","34.4","37.5","3.1",".",".","3.1",".",".",".",".",".","3.1",".",".","."
"470
Asian Americans-US Schools","001","","10","3.500","50.0","10.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"479
Paideia:Ed in Westrn Cultur","001","","18","3.804","72.2","16.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"550
Philos of Moral Education","001","","15","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"560
Gender and Education","001","","17","3.667","47.1","23.5","17.6",".",".",".",".","5.9",".",".",".",".",".","5.9",".","."
"648
Sociology of Education","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","4","***","","","","","","","","","","","","","","","",""
"713
Hist: Higher Ed-Europe&Amer","001","","13","3.792","61.5","23.1","7.7",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"740
Classics in Education","001","","9","3.938","77.8","11.1",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"755
Methods-Qualitative Resch","001","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"872
Educ Policy Rsch Design","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"908
Smr-Sociology of Education","001","","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"911
Seminar in Urban Education","001","","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920
Education and Public Policy","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","34","",".",".",".",".",".",".",".","85.3",".",".",".","8.8","2.9",".","2.9","."
"999","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","4","***","","","","","","","","","","","","","","","",""
