"SPANISH (SPANISH AND PORTU Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","","",""
"311","003","","18","3.235","27.8","27.8","27.8","5.6",".",".","5.6","5.6",".",".",".",".",".",".",".","."
"311","004","","20","3.225","15.0","35.0","40.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"311","005","","20","3.553","35.0","35.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","5.0"
"311","006","","17","3.735","64.7","23.5","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"311","007","","30","3.333","33.3","20.0","30.0","13.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"Advanced Language Practice","Course Total","","170","3.323","30.0","30.6","24.1","7.1","4.1","1.2","1.2","1.2",".",".",".",".",".",".",".","0.6"
"320","001","","38","3.486","50.0","15.8","15.8","10.5","5.3",".",".","2.6",".",".",".",".",".",".",".","."
"320","002","","24","3.354","25.0","29.2","41.7",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"320","003","","26","3.308","26.9","34.6","15.4","19.2","3.8",".",".",".",".",".",".",".",".",".",".","."
"Spanish Phonetics","Course Total","","88","3.397","36.4","25.0","22.7","10.2","4.5",".",".","1.1",".",".",".",".",".",".",".","."
"322","001","","25","3.329","32.0","32.0","20.0","8.0","4.0","4.0",".",".",".",".",".",".",".",".",".","."
"322","002","","23","3.304","43.5","4.3","30.4","13.0","8.7",".",".",".",".",".",".",".",".",".",".","."
"Survey of Early Hispanic Lit","Course Total","","48","3.317","37.5","18.8","25.0","10.4","6.3","2.1",".",".",".",".",".",".",".",".",".","."
"323
Adv Lang Prac-Expos Writing","001","","55","3.405","30.9","34.5","20.0","9.1","3.6",".",".","1.8",".",".",".",".",".",".",".","."
"324
Survey of Modern Spanish Lit","001","","27","3.648","55.6","29.6","7.4","3.7","3.7",".",".",".",".",".",".",".",".",".",".","."
"326
Survey of Spanish American Lit","001","","21","3.024","19.0","9.5","42.9","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"330
History of Spanish Language","001","","15","3.400","40.0","26.7","13.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"363
Spanish Amer Civilization","001","","44","3.624","50.0","29.5","13.6","2.3","2.3",".",".","2.3",".",".",".",".",".",".",".","."
"462
Spanish Am Theater & Drama","001","","24","3.662","58.3","20.8","16.7","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"513
Literatura Del Siglo de Oro","001","","22","3.121","18.2","40.9","18.2","18.2",".",".","4.5",".",".",".",".",".",".",".",".","."
"515
Lit Espanola Del Siglo XX","001","","39","3.521","48.7","23.1","10.3","17.9",".",".",".",".",".",".",".",".",".",".",".","."
"516
Literatura Hispanoamericana","001","","48","3.461","56.3","25.0","2.1","4.2","6.3","2.1","2.1","2.1",".",".",".",".",".",".",".","."
"599
Topics-Span: Study Abroad","000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"620
La Nov Espanola-1898-1940","001","","21","3.850","71.4","19.0","4.8",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"699","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","12","3.675","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"716
Topics-Spanish American Lit","001","","26","3.280","15.4","30.8","42.3","7.7",".",".",".","3.8",".",".",".",".",".",".",".","."
"754
Seminar in Golden Age Prose","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"802
Smr-Spanish American Lit","001","","15","3.700","60.0","26.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"899","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","2","***","","","","","","","","","","","","","","","",""
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 300 of 386",""
