"ALS","","","","","","","","","","","","","","","","","","","","","","",""
"AGRONOMY","Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"132
AGRONOMY","","","","","","","","","","","","","","","","","","","","","","",""
"AGRONOMY
132","Dept. Total","172","3.379","26.7","17.4","16.3","0.6","3.5","",".","1.2","15.7","",".","12.8","",".","5.2","",".",".",".","0.6"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"132
AGRONOMY","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","13","3.338","15.4","38.5","46.2",".",".","",".",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","19","3.127","31.6","31.6","21.1",".","10.5","",".","5.3",".","",".",".","",".",".","",".",".",".","."
"Senior","","57","3.307","33.3","28.1","28.1","1.8","5.3","",".","1.8",".","",".",".","",".",".","",".",".",".","1.8"
"Undergraduates","","89","3.272","30.3","30.3","29.2","1.1","5.6","",".","2.2",".","",".",".","",".",".","",".",".",".","1.1"
"Special","","6","3.000","16.7",".",".",".","16.7","",".",".","66.7","",".",".","",".",".","",".",".",".","."
"Graduate","","77","3.896","23.4","3.9","2.6",".",".","",".",".","29.9","",".","28.6","",".","11.7","",".",".",".","."
"","Dept. Total","172","3.379","26.7","17.4","16.3","0.6","3.5","",".","1.2","15.7","",".","12.8","",".","5.2","",".",".",".","0.6"
