"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"AMN","","","","","","","","","","","","","","","","","","","","","","","",""
"AMN","College Total","260","3.665","66.5","16.9","11.9","1.5","2.3","0.4","",".","",".","",".",".",".","",".","",".","0.4",".","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","P","","I","","NW","NR","Other"
"AMN","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","71","3.554","56.3","25.4","11.3","4.2","1.4","1.4","",".","",".","",".",".",".","",".","",".",".",".","."
"Sophomore","","75","3.793","77.3","10.7","9.3",".","2.7",".","",".","",".","",".",".",".","",".","",".",".",".","."
"Junior","","39","3.474","59.0","15.4","15.4","2.6","5.1",".","",".","",".","",".",".",".","",".","",".","2.6",".","."
"Senior","","76","3.728","71.1","14.5","13.2",".","1.3",".","",".","",".","",".",".",".","",".","",".",".",".","."
"Undergraduates","","261","3.666","67.0","16.5","11.9","1.5","2.3","0.4","",".","",".","",".",".",".","",".","",".","0.4",".","."
"Special","","1","3.500",".","100.0",".",".",".",".","",".","",".","",".",".",".","",".","",".",".",".","."
"","College Total","262","3.665","66.8","16.8","11.8","1.5","2.3","0.4","",".","",".","",".",".",".","",".","",".","0.4",".","."
