"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"576
Advanced Photography","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"612
Advanced Drawing II","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"614
Advanced Sculpture II","002","","6","3.656","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"622","001","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"622","002","","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Painting II","Course Total","","19","3.895","89.5",".","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"624","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"624","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Ceramics II","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"632
Advanced Life Drawing II","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"644
Advanced Art Metal II","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"652
Adv Concpt&Meth-Figuratn II","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","9","3.806","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","14","3.850","71.4","7.1","7.1",".",".",".",".",".",".",".",".",".","7.1",".","7.1","."
"699","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","012","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","9","3.688","66.7","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","058","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","067","","6","3.786","66.7",".","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".","."
"699","069","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","080","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","098","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","118","3.905","85.6","6.8","4.2","0.8",".",".",".",".",".",".",".",".","0.8","0.8","0.8","."
"708
Colloquium in Art","001","","11","3.944","72.7","9.1",".",".",".",".",".","9.1",".",".",".",".",".",".","9.1","."
"718
Art Performance","001","","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"726
Grad Intaglio Printmaking I","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"736
Grad Graphics Workshop I","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"826
Grad Intaglio Printmakng II","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"836
Grad Graphics Workshop II","001","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 76 of 386"
