"MANAGEMENT AND HUMAN RE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","213","2.923","21.6","9.4","34.7","9.4","18.3","4.2","0.9","1.4",".",".",".",".",".",".",".","."
"","300
002","226","3.060","15.0","18.1","44.2","8.8","12.8","0.4",".","0.4",".",".",".",".",".",".",".","."
"","300
003","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
300","115","3.053","32.2","10.4","26.1","7.0","16.5","6.1",".","1.7",".",".",".",".",".",".",".","."
"","300
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Organizational Behavior","Course Total","567","3.021","21.9","13.8","36.0","8.5","15.5","3.0","0.4","1.1",".",".",".",".",".",".",".","."
"","305
001","101","3.202","22.8","18.8","40.6","7.9","7.9",".",".","2.0",".",".",".",".",".",".",".","."
"","305
002","89","2.983","19.1","15.7","32.6","19.1","10.1","1.1","2.2",".",".",".",".",".",".",".",".","."
"","305
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Resource Management","Course Total","193","3.108","21.2","18.1","36.3","13.0","8.8","0.5","1.0","1.0",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","15","3.209","20.0","26.7","26.7","13.3","6.7",".",".","6.7",".",".",".",".",".",".",".","."
"","399
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
062","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
096","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
099","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Management of Teams","401
001","45","3.795","66.7","22.2","8.9",".",".",".",".","2.2",".",".",".",".",".",".",".","."
"","420
001","48","3.021","12.5","25.0","43.8","8.3","4.2","4.2","2.1",".",".",".",".",".",".",".",".","."
"","420
002","40","3.138","10.0","27.5","45.0","15.0","2.5",".",".",".",".",".",".",".",".",".",".","."
"Org & Mgmt Processes","Course Total","88","3.074","11.4","26.1","44.3","11.4","3.4","2.3","1.1",".",".",".",".",".",".",".",".","."
"Mgt:Decisn,Implmntatn&Cntrl","421
001","48","3.337","18.8","33.3","43.8","2.1","2.1",".",".",".",".",".",".",".",".",".",".","."
"Small Bus Mgmnt/Entrprshp","422
001","42","3.423","21.4","42.9","23.8","2.4","2.4",".",".","7.1",".",".",".",".",".",".",".","."
"","423
001","31","3.701","54.8","32.3","12.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","423
002","15","3.533","40.0","40.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Administrative Policy","Course Total","46","3.648","50.0","34.8","10.9","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Personnel Staffing & Eval","001
611","36","3.139","13.9","38.9","36.1",".","5.6","2.8","2.8",".",".",".",".",".",".",".",".","."
"Labor-Management Relations","612
001","22","3.500","22.7","50.0","22.7",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Hum Rsrce Skills-Managers","613
001","21","3.690","52.4","33.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
001","9","3.722","66.7","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
700","6","3.167","33.3",".","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"","700
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Organizational Behavior","Course Total","16","3.500","50.0","12.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","701
001","38","3.838","73.7","18.4","2.6","2.6",".",".",".","2.6",".",".",".",".",".",".",".","."
"","701
002","42","3.988","97.6","2.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
701","45","3.833","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Management of Teams","Course Total","125","3.887","81.6","13.6","3.2","0.8",".",".",".","0.8",".",".",".",".",".",".",".","."
"","702
001","36","3.944","91.7","5.6","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
702","42","3.917","92.9",".","4.8","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","702
003","45","3.978","95.6","4.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadership in Organizations","Course Total","123","3.947","93.5","3.3","2.4","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"Global Issues in Management","703
001","10","3.550","30.0","50.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Resource Management","705
001","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","713
001","14","3.536","28.6","50.0","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
