"","999
003","2","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
013","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
093","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Research Prob","Course Total","4","***","","","","","","","","","","","","","","","","","",""
"JOURN
512","Dept. Total","1484","3.216","23.0","27.6","28.4","9.4","4.3","1.3","1.0","2.0","",".","1.8","",".","0.6","0.1","0.1","0.3","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","135","2.924","5.2","19.3","43.0","25.2","5.9","0.7","0.7",".","",".",".","",".",".",".",".",".","."
"Sophomore","","250","3.190","13.2","33.6","37.2","11.2","4.4","0.4",".",".","",".",".","",".",".",".",".",".","."
"Junior","","330","3.124","18.2","31.2","29.7","10.3","2.1","3.3","2.1","0.3","",".","2.7","",".",".",".",".",".","."
"Senior","","643","3.293","30.5","26.4","25.2","6.4","5.8","0.9","1.1","0.6","",".","2.8","",".",".","0.3",".",".","."
"Undergraduates","","1358","3.192","21.8","28.2","30.3","10.1","4.6","1.4","1.1","0.4","",".","2.0","",".",".","0.1",".",".","."
"Special","","11","2.944",".","36.4","18.2","27.3","9.1",".",".",".","",".",".","",".",".",".",".","9.1","."
"Graduate","","115","3.742","40.0","20.0","7.0",".",".",".",".","20.9","",".",".","",".","7.8",".","0.9","2.6","0.9"
"","Dept. Total","1484","3.216","23.0","27.6","28.4","9.4","4.3","1.3","1.0","2.0","",".","1.8","",".","0.6","0.1","0.1","0.3","0.1"
