"FOOD SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","","",""
"120","001","","112","3.150","28.6","19.6","25.0","13.4","8.0","1.8","1.8","0.9",".",".",".",".",".",".",".","0.9"
"120","002","","160","3.139","18.8","27.5","26.9","16.9","4.4","1.3","1.3","2.5",".",".",".",".",".","0.6",".","."
"120","003","","169","3.136","21.3","22.5","27.8","16.6","4.7","2.4","0.6","3.6",".",".",".",".",".","0.6",".","."
"Science of Food","Course Total","","441","3.141","22.2","23.6","26.8","15.9","5.4","1.8","1.1","2.5",".",".",".",".",".","0.5",".","0.2"
"235
Nature of Food","001","","73","3.111","27.4","15.1","31.5","6.8","16.4",".","1.4",".",".",".",".",".",".","1.4",".","."
"236","001","","14","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"236","003","","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nature of Food - Laboratory","Course Total","","26","3.788","69.2","19.2","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","020","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","028","","6","3.857","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","22","3.917","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"321
Food Laws and Regulations","001","","55","3.555","45.5","29.1","16.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"410
Food Chemistry I","001","","27","3.148","25.9","25.9","14.8","18.5","14.8",".",".",".",".",".",".",".",".",".",".","."
"421
Ice Cream,Conc & Dried Milk","001","","10","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"464
Stat-Food Indst Qual Contrl","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"514
Food Chemistry II","001","","11","2.864",".","27.3","36.4","18.2","18.2",".",".",".",".",".",".",".",".",".",".","."
"532
Food Processing II","001","","15","2.900","13.3","20.0","20.0","26.7","20.0",".",".",".",".",".",".",".",".",".",".","."
"537
Org&Mgmt-Nutritn&Food Serv","001","","36","3.417","22.2","47.2","22.2","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"539
Org & Mgmt of Food Services","001","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"542
Food Engineering Operations","001","","10","2.350",".","20.0","20.0","10.0","30.0","20.0",".",".",".",".",".",".",".",".",".","."
"550
Food Fermentations","001","","11","3.636","63.6",".","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"565
Food Process Engineering","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"600
Prof Practice in Food Sci","001","","11","3.950","81.8","9.1",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"601
Career Orientation","001","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"610
Food Proteins","001","","8","3.063","12.5","12.5","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"650
Adv Microbiol/Food Pathgens","001","","6","3.167","16.7","16.7","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"699","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","14","3.947","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900
Seminar Advanced","001","","6","3.417","16.7","66.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 21 of 386"
