"620
M M & I","","","","","","","","","","","","","","","","","","",""
"","990
035","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
12","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","21","",".",".",".",".",".",".",".","90.5",".",".",".","4.8","4.8",".",".","."
"M M & I
620","Dept. Total","429","3.074","27.5","16.6","20.7","8.9","13.3","1.6","0.5","10.5",".",".",".","0.2","0.2",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"620
M M & I","","","","","","","","","","","","","","","","","","",""
"Sophomore","","22","2.727","22.7","9.1","13.6","18.2","27.3","9.1",".",".",".",".",".",".",".",".",".","."
"Junior","","87","3.105","29.9","20.7","23.0","3.4","20.7","2.3",".",".",".",".",".",".",".",".",".","."
"Senior","","258","3.069","31.0","17.8","24.0","11.2","12.4","1.2","0.8","1.6",".",".",".",".",".",".",".","."
"Undergraduates","","367","3.062","30.2","18.0","23.2","9.8","15.3","1.9","0.5","1.1",".",".",".",".",".",".",".","."
"Special","","7","3.333","28.6","14.3","28.6","14.3",".",".",".","14.3",".",".",".",".",".",".",".","."
"Graduate","","52","3.423","9.6","7.7","3.8","1.9","1.9",".",".","71.2",".",".",".","1.9","1.9",".",".","."
"Prof Yr 3","","3","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Professionals","","3","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","Dept. Total","429","3.074","27.5","16.6","20.7","8.9","13.3","1.6","0.5","10.5",".",".",".","0.2","0.2",".",".","."
