"Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"100","001","","18","3.278","22.2","38.9","16.7","16.7","5.6",".",".",".",".",".",".",".",".",".",".","."
"100","002","","18","3.167","33.3","16.7","27.8","5.6","11.1","5.6",".",".",".",".",".",".",".",".",".","."
"100","003","","17","2.912","11.8","17.6","41.2","11.8","11.8","5.9",".",".",".",".",".",".",".",".",".","."
"100","004","","17","2.618","23.5","11.8","11.8","17.6","17.6","11.8","5.9",".",".",".",".",".",".",".",".","."
"100","005","","18","3.778","61.1","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","006","","18","3.389","33.3","22.2","38.9",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"100","008","","15","3.167","20.0","26.7","33.3","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"100","009","","20","3.184","15.0","25.0","40.0","10.0","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"100","010","","14","3.714","64.3","14.3","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","011","","19","3.079","21.1","26.3","26.3","10.5","10.5","5.3",".",".",".",".",".",".",".",".",".","."
"100","013","","20","3.650","30.0","70.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","014","","18","3.750","61.1","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","015","","18","3.083","22.2","5.6","38.9","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"100","017","","18","3.389","27.8","33.3","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"100","018","","19","3.658","36.8","57.9","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","019","","20","3.375","15.0","60.0","10.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"100","020","","18","3.306","33.3","22.2","27.8","5.6","11.1",".",".",".",".",".",".",".",".",".",".","."
"100","021","","18","3.306","16.7","38.9","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"100","022","","18","3.583","38.9","38.9","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","023","","20","3.325","25.0","40.0","15.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"100","024","","20","3.400","30.0","40.0","15.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"100","025","","17","3.353","23.5","41.2","23.5","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"100","026","","18","3.389","22.2","44.4","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"100","028","","19","3.237","26.3","26.3","21.1","21.1","5.3",".",".",".",".",".",".",".",".",".",".","."
"100","029","","19","3.632","36.8","52.6","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","030","","19","3.184","31.6","26.3","15.8","10.5","10.5","5.3",".",".",".",".",".",".",".",".",".","."
"100","031","","17","3.559","35.3","41.2","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","032","","20","2.947","25.0","10.0","25.0","20.0","5.0","10.0",".",".",".",".",".",".",".","5.0",".","."
"100","033","","19","3.447","21.1","47.4","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","035","","18","3.222","27.8","27.8","22.2","16.7",".","5.6",".",".",".",".",".",".",".",".",".","."
"100","036","","19","3.474","36.8","36.8","15.8","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"100","037","","18","3.306","11.1","44.4","38.9","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"100","038","","19","3.421","47.4","15.8","15.8","15.8","5.3",".",".",".",".",".",".",".",".",".",".","."
"100","039","","18","3.250","22.2","33.3","16.7","27.8",".",".",".",".",".",".",".",".",".",".",".","."
"100","040","","17","2.882","5.9","29.4","23.5","17.6","23.5",".",".",".",".",".",".",".",".",".",".","."
"100","041","","17","3.441","23.5","64.7","5.9",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"100","042","","20","3.211","25.0","30.0","15.0","10.0","15.0",".",".",".",".",".",".",".",".","5.0",".","."
"100","043","","20","3.600","65.0","20.0","5.0",".","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"100","044","","20","3.425","40.0","20.0","30.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"100","045","","17","3.265","23.5","29.4","29.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"100","046","","19","3.763","73.7","10.5","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"100","047","","20","3.375","35.0","35.0","15.0",".","15.0",".",".",".",".",".",".",".",".",".",".","."
"100","048","","18","3.139","16.7","27.8","38.9","11.1",".","5.6",".",".",".",".",".",".",".",".",".","."
"100","049","","19","2.842","10.5","26.3","21.1","26.3","10.5",".","5.3",".",".",".",".",".",".",".",".","."
"100","050","","20","3.300","25.0","35.0","30.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"","Course Total","","828","3.330","30.1","32.2","21.5","9.2","4.8","1.6","0.2","0.1",".",".",".",".",".","0.2",".","."
