"INDUSTRIAL & SYSTEMS ENGR","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","26","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practice of Industrial Engr","191","001","","37","3.833","81.1","10.8",".",".","5.4",".",".",".",".",".",".",".",".",".",".","2.7"
"Engineerng Economc Analysis","313","001","","88","3.362","37.5","28.4","20.5","4.5","4.5","1.1","2.3",".",".",".",".",".",".",".",".","1.1"
"Production Planning&Control","315","001","","71","3.148","9.9","36.6","35.2","15.5","1.4",".","1.4",".",".",".",".",".",".",".",".","."
"Simulatn&Probablstc Modelng","320","001","","33","3.545","33.3","48.5","15.2",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"","321","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321","002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321","003","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling Lab","","Course Total","","33","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349","001","","26","3.077","11.5","19.2","53.8","3.8","11.5",".",".",".",".",".",".",".",".",".",".","."
"Intro-Manufac Sys,Dsgn&Anal","415","001","","40","3.615","42.5","37.5","15.0","2.5",".",".",".","2.5",".",".",".",".",".",".",".","."
"Theory of Design I","466","001","","33","3.742","51.5","45.5","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Industrial Engr Projects","476","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quality Assurance Systems","520","001","","32","3.328","15.6","46.9","28.1","6.3","3.1",".",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Occupatnl Safty&Health Engr","556","001","","50","3.700","58.0","24.0","18.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ergonomcs-Manufact&Industry","564","001","","29","3.379","27.6","34.5","27.6","6.9","3.4",".",".",".",".",".",".",".",".",".",".","."
"Office Systems Engineering","565","002","","15","3.767","53.3","46.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Facilities Location Models","578","001","","10","3.550","30.0","50.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multiple Criteria Evaluatn","613","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stochastic Modeling Tech","624","001","","19","3.395","26.3","31.6","36.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Queung Thry & Stochas Model","633","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Design & Anal-Manufact Sys","641","001","","42","3.643","40.5","47.6","11.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dsgn & Hum Disablty & Aging","662","001","","17","3.706","58.8","23.5","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Occupational Stress","663","002","","14","3.731","57.1","21.4","14.3",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","691","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","003","","19","4.000","94.7",".",".",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"Spec Topics Industrial Engr","","Course Total","","33","4.000","97.0",".",".",".",".",".",".","3.0",".",".",".",".",".",".",".","."
"Topics in Human Factors","692","001","","19","4.000","94.7",".",".",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","026","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","038","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
