"BUS","","","","","","","","","","","","","","","","","","","",""
"ACCOUNTING AND INFO SYSTE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","",""
"","310
001","","37","3.338","43.2","18.9","21.6",".","13.5","2.7",".",".",".",".",".",".",".",".",".","."
"","310
002","","50","2.970","30.0","12.0","20.0","14.0","16.0","8.0",".",".",".",".",".",".",".",".",".","."
"Managerial Cost Accounting","Course Total","","87","3.126","35.6","14.9","20.7","8.0","14.9","5.7",".",".",".",".",".",".",".",".",".","."
"Engineerng Economc Analysis","313
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Taxatn:Bus & Persnl Planng","329
001","","16","2.967","6.3","43.8","6.3","25.0","6.3","6.3",".","6.3",".",".",".",".",".",".",".","."
"","340
001","","32","3.078","9.4","15.6","59.4","12.5","3.1",".",".",".",".",".",".",".",".",".",".","."
"","002
340","","36","3.222","22.2","19.4","44.4","8.3","5.6",".",".",".",".",".",".",".",".",".",".","."
"Accounting Systems","Course Total","","68","3.154","16.2","17.6","51.5","10.3","4.4",".",".",".",".",".",".",".",".",".",".","."
"","399
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
202","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Accounting","Course Total","","3","***","","","","","","","","","","","","","","","",""
"","406
001","","26","3.365","15.4","42.3","42.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","406
002","","24","3.250","25.0","29.2","25.0","12.5","8.3",".",".",".",".",".",".",".",".",".",".","."
"Advanced Accounting","Course Total","","50","3.310","20.0","36.0","34.0","6.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Acct Internshp & Prac Rsch","001
600","","57","3.772","71.9","15.8","7.0","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Pro Prac Iss-Acct & Auditng","601
001","","57","3.649","45.6","38.6","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","603
001","","22","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
603","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Analysis-Financial Reports","Course Total","","34","3.809","61.8","38.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
001","","27","3.296","40.7","22.2","7.4","14.8","14.8",".",".",".",".",".",".",".",".",".",".","."
"","002
620","","42","3.083","14.3","26.2","31.0","19.0","9.5",".",".",".",".",".",".",".",".",".",".","."
"Income Tax Accounting I","Course Total","","69","3.167","24.6","24.6","21.7","17.4","11.6",".",".",".",".",".",".",".",".",".",".","."
"Income Tax Accounting II","621
001","","8","3.250","25.0","25.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","630
001","","20","3.275","30.0","15.0","35.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","630
002","","27","3.019","18.5","11.1","48.1","14.8","3.7",".","3.7",".",".",".",".",".",".",".",".","."
"Auditing","Course Total","","47","3.128","23.4","12.8","42.6","17.0","2.1",".","2.1",".",".",".",".",".",".",".",".","."
"Computerized Info Systems","001
631","","38","3.711","55.3","31.6","13.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Accounting","700
001","","27","3.352","22.2","33.3","37.0","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"","701
001","","8","3.188","12.5","12.5","75.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","701
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","701
004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","701
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Financial Reporting I","Course Total","","18","3.361","27.8","27.8","38.9",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","702
001","","10","3.550","50.0","20.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","702
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Financial Reporting II","Course Total","","14","3.607","57.1","14.3","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","706
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","706
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Financial Reporting","Course Total","","8","3.563","12.5","87.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
001","","36","3.583","61.1","5.6","27.8",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","002
710","","30","3.483","43.3","13.3","33.3","6.7",".",".",".",".",".",".",".",".",".",".","3.3","."
"Managerial Accounting","Course Total","","66","3.538","53.0","9.1","30.3","3.0","3.0",".",".",".",".",".",".",".",".",".","1.5","."
