"MANAGEMENT AND HUMAN RES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","114","3.171","8.8","40.4","33.3","13.2","3.5","0.9",".",".",".",".",".",".",".",".",".","."
"","002
300","36","3.353","11.1","47.2","33.3","2.8",".",".",".",".",".",".",".",".","5.6",".",".","."
"","300
003","34","3.250","14.7","44.1","17.6","23.5",".",".",".",".",".",".",".",".",".",".",".","."
"","300
004","40","2.975","12.5","17.5","35.0","27.5","5.0","2.5",".",".",".",".",".",".",".",".",".","."
"","300
005","37","3.338","16.2","45.9","29.7","5.4","2.7",".",".",".",".",".",".",".",".",".",".","."
"","300
006","39","3.145",".","38.5","48.7","10.3",".",".",".",".",".",".",".",".","2.6",".",".","."
"","300
007","42","3.298","11.9","47.6","28.6","11.9",".",".",".",".",".",".",".",".",".",".",".","."
"","300
008","40","3.150","7.5","37.5","37.5","12.5","5.0",".",".",".",".",".",".",".",".",".",".","."
"","300
009","43","3.767","65.1","25.6","7.0","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"","300
010","41","3.207","12.2","39.0","31.7","12.2","4.9",".",".",".",".",".",".",".",".",".",".","."
"","300
011","41","3.780","61.0","34.1","4.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
012","36","3.157","11.1","22.2","50.0","13.9",".",".",".",".",".",".",".",".","2.8",".",".","."
"","300
100","17","3.529","35.3","47.1","5.9","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"Managing Organizations","Course Total","560","3.294","18.9","37.3","29.3","11.4","2.0","0.4",".",".",".",".",".",".","0.7",".",".","."
"","305
001","77","3.507","63.6","9.1","11.7","2.6","7.8","2.6","1.3",".",".",".",".",".","1.3",".",".","."
"","305
002","58","3.603","67.2","12.1","8.6","5.2","5.2",".","1.7",".",".",".",".",".",".",".",".","."
"","305
100","16","3.125","43.8",".","37.5",".","12.5",".","6.3",".",".",".",".",".",".",".",".","."
"Human Resource Management","Course Total","151","3.503","62.9","9.3","13.2","3.3","7.3","1.3","2.0",".",".",".",".",".","0.7",".",".","."
"Nw Vntrs in Bus,Arts&Soc Entrp","320
001","31","3.661","64.5","9.7","19.4","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Entrepreneurial Mgnt","322
001","209","3.323","29.2","20.1","44.0","1.4","4.8",".","0.5",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Rsch-Management","399
071","3","***","","","","","","","","","",".",".",".",".",".",".","."
"The Management of Teams","401
001","38","3.697","55.3","34.2","7.9",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"","403
001","20","3.850","75.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","403
002","21","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Issues in Management","Course Total","41","3.841","70.7","26.8","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
001","39","3.769","61.5","33.3","2.6","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","422
002","38","3.892","94.7",".",".",".",".",".","2.6",".",".",".",".",".","2.6",".",".","."
"Entrepreneurial Management","Course Total","77","3.829","77.9","16.9","1.3","1.3",".",".","1.3",".",".",".",".",".","1.3",".",".","."
"","423
001","39","3.718","64.1","23.1","7.7","2.6","2.6",".",".",".",".",".",".",".",".",".",".","."
"","423
002","38","3.553","44.7","23.7","28.9","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Management","Course Total","77","3.636","54.5","23.4","18.2","2.6","1.3",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneur Growth Strategies","427
001","23","3.913","91.3","4.3",".","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Venture Creation","434
001","42","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technology Entrepreneurship","441
001","28","3.357","53.6","7.1","25.0",".","10.7",".","3.6",".",".",".",".",".",".",".",".","."
"Compensation: Theory & Adm","610
001","28","3.786","71.4","21.4","3.6",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"","628
001","28","3.607","28.6","64.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","628
002","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","628
030","27","3.907","81.5","18.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","628
040","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Negotiations","Course Total","101","3.859","75.2","22.8","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
