"ANTHROPOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"","100","001","52","3.578","50.0","28.8","9.6","7.7",".","1.9",".",".",".",".",".",".","1.9",".",".","."
"","100","002","59","3.709","55.9","23.7","10.2","3.4",".",".",".","6.8",".",".",".",".",".",".",".","."
"General Anthropology","","Course Total","111","3.646","53.2","26.1","9.9","5.4",".","0.9",".","3.6",".",".",".",".","0.9",".",".","."
"Archaeology & Prehist World","102","001","168","3.269","30.4","23.8","23.8","7.1","7.7","1.8","0.6","4.2",".",".",".",".",".","0.6",".","."
"","104","001","404","3.791","79.0","12.4","3.7","2.2","1.5","0.2","1.0",".",".",".",".",".",".",".",".","."
"","104","002","422","3.809","81.3","12.1","2.1","1.9","0.7","0.9","0.9",".",".",".",".",".",".",".",".","."
"","104","003","19","3.789","78.9","10.5","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","104","009","19","3.342","42.1","36.8",".",".","15.8","5.3",".",".",".",".",".",".",".",".",".","."
"","104","032","17","3.559","70.6","11.8","5.9","5.9",".",".","5.9",".",".",".",".",".",".",".",".","."
"","104","039","20","3.700","75.0","10.0","5.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","104","042","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cult Anthro&Human Diversity","","Course Total","921","3.787","79.2","12.7","2.9","2.0","1.6","0.7","1.0",".",".",".",".",".",".",".",".","."
"","105","001","298","3.681","63.1","24.8","5.0","4.0","1.0","1.7","0.3",".",".",".",".",".",".",".",".","."
"","105","002","275","3.708","60.0","29.8","4.7","3.6","0.4","1.1",".","0.4",".",".",".",".",".",".",".","."
"","105","011","19","3.895","78.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles - Biological Anthro","","Course Total","592","3.701","62.2","27.0","4.7","3.7","0.7","1.4","0.2","0.2",".",".",".",".",".",".",".","."
"Global Language Issues","211","001","11","3.773","72.7","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Archaeology","212","001","84","3.660","65.5","4.8","17.9","1.2","1.2","2.4",".","6.0",".",".",".",".",".",".",".","1.2"
"Dimensions-Material Culture","264","001","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","16","3.344","18.8","68.8","6.3",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"Cult Anthro:Thry&Ethnogrphy","300","001","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Skeletal Anatomy","303","001","10","2.800","20.0",".","50.0",".","20.0","10.0",".",".",".",".",".",".",".",".",".","."
"Topics in Archaeology","310","001","14","3.214","35.7","14.3","42.9",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Emergence of Human Culture","321","001","51","2.935","23.5","21.6","13.7","9.8","13.7","2.0","5.9","3.9",".",".",".",".","2.0","2.0",".","2.0"
"Topics in Ethnology","330","001","15","3.840","86.7","6.7",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Intro-Anthropology of Japan","357","001","15","3.942","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Yucatec Maya","376","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Museum Studies-Anthro","405","001","14","3.583","71.4",".","7.1",".",".",".","7.1","7.1",".",".",".",".","7.1",".",".","."
"Evolutionary Biology","410","001","10","3.500","50.0","10.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Primatol Research","420","001","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Language and Culture","430","001","11","3.818","81.8","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"American Indian Women","437","001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","490","002","17","3.688","64.7","11.8","11.8",".","5.9",".",".",".",".",".",".",".","5.9",".",".","."
"Anthropology and Education","570","001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Primate Conservation","668","001","15","3.714","60.0","26.7",".",".","6.7",".",".",".",".",".",".",".","6.7",".",".","."
"Senior Honors Thesis","681","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691","069","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","075","4","***","","","","","","","","","",".",".",".",".",".",".","."
"January 05, 2023","","","","","","","","","","","","","","","","","","","Page 180 of 467",""
