"Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"100","001","","15","3.333","33.3","46.7",".","6.7","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"100","002","","14","3.321","35.7","35.7","21.4",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"100","003","","14","3.462","28.6","35.7","21.4","7.1",".",".",".",".",".",".",".",".","7.1",".",".","."
"100","004","","15","3.633","66.7","13.3","6.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"100","005","","15","3.433","33.3","46.7","13.3",".",".","6.7",".",".",".",".",".",".",".",".",".","."
"100","006","","13","2.808","30.8","23.1",".","15.4","15.4","7.7","7.7",".",".",".",".",".",".",".",".","."
"100","007","","13","3.692","46.2","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","008","","15","3.400","13.3","60.0","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"100","009","","15","3.600","46.7","26.7","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","010","","15","3.200","20.0","33.3","20.0","20.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"100","011","","15","3.400","46.7","26.7","13.3",".","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"100","012","","13","3.769","76.9","7.7","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"100","013","","15","3.300","33.3","26.7","20.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"100","014","","15","2.900","6.7","13.3","40.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"100","015","","15","3.733","60.0","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","016","","15","3.600","53.3","26.7","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"100","017","","15","3.267","26.7","33.3","20.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"100","018","","14","3.429","28.6","42.9","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"100","019","","15","3.567","46.7","26.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"100","020","","13","3.500","15.4","69.2","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","021","","14","3.321","21.4","57.1","7.1","7.1",".","7.1",".",".",".",".",".",".",".",".",".","."
"100","022","","15","3.433","40.0","26.7","20.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"100","023","","15","3.233","13.3","46.7","20.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"100","024","","15","3.333","33.3","40.0","13.3",".","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"100","025","","15","3.400","40.0","20.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"100","026","","15","3.667","46.7","46.7",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"100","027","","15","3.400","33.3","40.0","13.3",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"100","028","","15","3.400","26.7","53.3","13.3",".",".","6.7",".",".",".",".",".",".",".",".",".","."
"100","029","","15","3.633","40.0","53.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"100","030","","15","3.567","53.3","20.0","20.0",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"100","031","","15","3.433","33.3","40.0","13.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"100","032","","15","3.267","6.7","46.7","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"100","033","","14","3.250","14.3","35.7","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"100","034","","15","3.567","46.7","26.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"100","035","","14","3.321","14.3","64.3","7.1",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"100","036","","15","3.667","60.0","26.7","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"100","037","","14","3.464","35.7","35.7","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"100","038","","15","3.233","13.3","60.0","20.0",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"100","039","","15","3.600","46.7","33.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"100","040","","15","3.600","46.7","40.0","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"100","041","","15","3.267","13.3","46.7","26.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"100","042","","15","3.467","33.3","40.0","20.0",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"100","043","","15","3.633","66.7","6.7","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","","","","","","","","","","","","","","","","","","","Page 211 of 467",""
