"SOCIAL WORK","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"836
Mental Hlth Policies&Services","010","","22","3.750","86.4","4.5","4.5",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"840","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"840","002","","18","3.861","72.2","27.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"840","010","","22","3.795","59.1","40.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Macro Practice","Course Total","","60","3.883","76.7","23.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"870
Cog & MH Treatments for Adults","010","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"873","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"873","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Soc Work Practice in Hlth Care","Course Total","","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","001","","19","3.711","42.1","57.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Hlth, Aging, Disably Pol&Serv","Course Total","","21","3.690","38.1","61.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920
Chld, Youth, Fam Pol&Services","010","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"921
Child Welfare","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"923
Family Violence","001","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"946
Faculty Research Seminar","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"949
Proseminar","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"950
PhD Proseminar","001","","10","3.857","50.0","20.0",".",".",".",".",".",".",".",".",".",".","30.0",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis-Research","Course Total","","8","",".",".",".",".",".",".",".","87.5",".",".",".","12.5",".",".",".","."
"999","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","13","4.000","61.5",".",".",".",".",".",".",".",".",".",".",".","23.1",".","15.4","."
